catalog,thickness,g60,LAB_L_dmin,LAB_L_dmax,LAB_A_dmin,LAB_A_dmax,LAB_B_dmin,LAB_B_dmax,logroughness
1554,0.321,46.93597,93.5,,-0.79,,5.95,,1.5734757705711588
1555,0.333,10.10403,93.41,,-1.26,,6.73,,1.6268161469116773
1556,0.343,10.5097,94.62,,-1.79,,7.53,,1.9056562629165474
1557,0.182,55.16968,91.97,,-0.68,,1.49,,1.5317217668030858
1558,0.164,54.45158,93.96,,-0.86,,4.06,,1.7093165473864875
156,0.177,69.09013,95.57,,-0.58,,1.52,,1.1270476915939405
158,0.169,47.19382383259487,90.75,,-0.12,,1.75,,1.6458234812353025
159,0.185,26.3859,90.78,,0.21,,0.62,,1.6732346115766883
16,0.38,7.258767,93.81,,-1.08,,10.66,,2.76561322229901
160,0.37,8.952381,94.9,,-0.7,,7.47,,2.179643586136044
161,0.179,11.12771,95.32,,-0.96,,5.9,,2.1342296665784426
162,0.2604975790747584,8.284794,93.43,,-0.87,,3.2,,1.6220616925198055
164,0.18,62.92032,95.52,,0.49,,-1.02,,1.1486181280031353
165,0.182,63.88771,96.01,,0.58,,-0.25,,1.149927671814515
166,0.178,76.42834,95.91,,0.74,,0.29,,1.313500694072907
167,0.259,22.73993,94.62,,1.41,,2.32,,2.214175894060969
1670,0.157,47.24298,91.8,,-1.08,,3.07,,1.67898611697977
1671,0.177,68.59086,96.35,,1.15,,-0.67,,1.3533752779508514
1672,0.17,48.71099,96.37,,1.41,,-1.96,,1.748677521824423
1673,0.179,29.00323,96.45,,1.1,,-1.03,,1.7556801126091648
1674,0.165,40.66837,96.25,,1.09,,-1.09,,1.7866779896364238
1675,0.175,69.66219,96.07,,0.83,,0.62,,1.2891555741037923
1676,0.183,50.33452,90.66,,0.24,,0.74,,1.6332664962035057
1677,0.288,54.50336,91.86,,0.93,,6.77,,1.5647917020588595
1678,0.235,92.64566,94.37,,-1.2,,3.69,,0.6533027403702473
1679,0.232,96.34378,94.42,,-1.27,,4.09,,0.6437664056749973
1680,0.23,96.19006,94.54,,-1.24,,3.19,,0.7129830623018357
1681,0.166,51.18485,90.23,,-0.66,,4.86,,1.662228894671203
1682,0.173,44.09348,90.94,,0.01,,1.25,,1.6386015039765418
1683,0.173,48.3836,91.31,,-0.18,,-0.66,,1.5035306911024413
1684,0.168,51.39568,90.65,,-0.09,,0.08,,1.4886412632653045
1685,0.173,52.31334,90.49,,0.12,,0.08,,1.5848944620403238
1686,0.174,21.71493,90.44,,0.42,,-0.42,,1.5053810188155914
1687,0.181,42.06271,90.61,,-0.16,,-0.14,,1.6864621885594366
1688,0.347,7.550863,93.65,,-0.59,,8.45,,1.897801342315256
1689,0.19,8.147381,92.79,,-0.48,,4.52,,2.1087376666056774
169,0.25635669318878335,11.29215,94.82,,-0.22,,2.64,,3.2467130433888687
1690,0.174,6.745016,93.26,,-0.89,,5.48,,2.1239239123393463
1691,0.357,12.06201,95.01,,-1.39,,8.84,,2.1729996997896506
1692,0.26523041576426654,13.9481,95.85,,-1.15,,7.54,,2.044394413576776
1693,0.183,45.2956,91.75,,-0.65,,3.32,,1.6727734643598438
1697a,0.20679606491307187,92.97559,86.1,14.02,-0.64,0.4,6.06,2.0,1.2573917932019303
1697aa,0.2000483339992548,93.68052,92.81,15.51,-0.13,1.27,2.98,4.11,1.0584962958812074
1697b,0.2755699627484212,9.186872,92.58,25.75,-0.54,-0.07,10.97,1.86,2.2327027026937736
1697bb,0.24105314211229373,39.20682,92.91,24.0,-0.29,0.23,4.42,2.71,1.8655139325944474
1697c,0.27831928148110924,7.685916,92.9,21.95,-0.68,3.0,11.83,2.98,2.392986981688589
1697cc,0.2694498679993876,13.94627,95.08,14.71,-0.79,0.58,9.86,4.16,3.1170921200739077
1697d,0.26434219091641564,13.78761,91.29,21.88,-0.32,0.3,7.09,1.04,2.181932368197703
1697dd,0.26178535979210177,16.01641,93.8,20.03,-0.92,0.55,6.63,1.93,2.245954255549645
1697e,0.2680216159971824,17.99466,94.52,22.8,-0.82,0.13,10.56,3.56,3.144037856526995
1697ee,0.19771035363268127,92.15683,91.46,15.4,0.24,1.15,1.36,2.74,1.1922174784309483
1697f,0.206504358582259,91.53695,92.48,13.48,-0.73,0.24,5.35,3.68,0.9603336115689275
1697ff,0.2716916222862849,12.91781,94.13,18.33,-0.67,0.53,10.35,2.2,2.1662125440551336
1697g,0.2693328659146945,17.27997,95.17,23.68,-0.95,0.48,10.62,7.73,1.8570315753443207
1697h,0.2712960889764542,15.99098,94.24,22.53,-0.75,8.25,11.17,9.33,2.0111997007505913
1697i,0.2743640755586812,8.798257,94.95,17.3,-0.44,-0.17,10.23,2.59,2.1446676094242276
1697j,0.2674466328598305,23.19445,94.4,18.99,-0.78,0.21,11.85,7.88,2.3251405788398825
1697k,0.26579148411627274,23.93363,94.73,18.28,-0.61,11.87,11.27,14.63,2.2053110065377615
1697l,0.2760270857164086,8.186658,94.11,20.5,-0.48,0.26,10.88,2.85,2.3521468866072093
1697m,0.26830006793581884,17.86801,95.24,16.55,-0.82,0.06,10.61,5.63,2.982216042455281
1697n,0.26871548819860386,17.9297,94.01,28.66,-0.6,0.44,10.52,7.89,1.7670929202281058
1697o,0.2789351605904927,2.622284,94.38,28.27,-0.6,0.14,10.37,0.97,2.292426129141825
1697p,0.2694519281008948,14.01391,94.93,19.94,-0.78,0.43,9.6,5.8,2.0119792923914
1697q,0.2691352626418816,11.87468,94.76,22.16,-0.38,7.89,8.74,9.09,2.110907815329929
1697r,0.26900150076855545,17.23214,94.92,20.01,-0.55,0.42,10.48,5.91,2.000744850629706
1697s,0.29161708198003716,12.53257,92.37,23.21,0.97,0.76,19.91,7.63,2.304675542514065
1697t,0.27630072161348085,6.601226,94.59,24.96,-0.71,0.45,10.45,4.94,2.2738729638822925
1697u,0.278278402785887,1.972343,94.35,29.45,-0.43,0.02,9.86,2.88,2.411689502938642
1697v,0.27106932098946274,16.48424,95.13,23.56,-0.88,0.44,11.5,8.18,3.065656761486197
1697w,0.2968956777886669,7.274216,92.76,21.6,0.49,0.33,20.73,4.76,2.542467284133102
1697x,0.2629567829320783,14.70786,93.25,19.4,-0.61,0.7,6.74,2.62,2.207262036158498
1697y,0.2741136570682929,10.28565,94.41,18.75,-0.51,0.83,10.64,1.43,2.231864331563399
1697z,0.27310509967075075,11.76797,94.48,19.73,-0.49,2.57,10.69,5.77,2.354619969386392
1699,0.357,16.11437,88.49,,-0.01,,10.2,,2.0580389381483815
1701,0.178,10.77234,91.03,,-1.06,,5.68,,2.2032784302141923
1702,0.324,56.83893,91.17,,-0.02,,5.68,,1.7172676082851899
1703,0.345,15.26294,91.02,,-0.76,,11.44,,2.062090363450272
1704,0.172,48.41997,92.27,,0.03,,2.3,,1.4667362792247085
1705,0.205,8.348408,91.28,,-1.35,,6.95,,2.471280269354353
1706,0.165,47.43814,91.51,,0.29,,1.61,,1.6108673734803707
1707,0.179,9.81758,92.72,,-1.33,,4.59,,2.0555161068865155
1708,0.29,58.16129,96.14,,0.92,,2.02,,1.3425893422833302
1709,0.337,8.612661,92.22,,-0.61,,5.47,,1.8302172267527295
171,0.284,6.588648,94.36,,-0.47,,5.28,,2.461360243250622
1710,0.181,11.30817,92.46,,-0.68,,5.2,,1.5530818909551816
1711,0.185,11.80916,92.72,,-0.89,,4.68,,1.58638832547286
1712,0.341,7.553867,91.94,,-1.03,,7.32,,1.9411544171970014
1713,0.178,51.23774,90.09,,-0.13,,1.69,,1.3899918305553505
1714,0.162,8.368895,91.83,,-0.57,,9.7,,1.904352945183902
1715,0.22298239470085884,58.73771,90.94,,-0.52,,2.19,,1.2609521674185378
1716,0.161,7.753541,91.96,,-0.72,,9.46,,1.977062867658567
1717,0.16,47.44771,91.89,,-1.14,,4.26,,1.3402217722709657
1718,0.17,32.48322,91.7,,-0.7,,1.76,,1.9038024673907663
1719,0.155,50.509,91.8,,-1.09,,3.76,,1.3601333027529499
172,0.171,70.40618,96.13,,0.62,,0.44,,1.366681325811185
1720,0.161,52.22877,91.4,,-0.95,,4.74,,1.3132500116589614
1721,0.161,35.46974,92.16,,-0.85,,2.02,,1.83822484061152
1722,0.161,36.0313,91.96,,-0.61,,1.88,,1.8829029228015453
1723,0.158,34.33837,91.89,,-1.18,,1.62,,1.8787113537807059
1724,0.166,40.19308,93.39,,-0.11,,-0.38,,1.9374582619449565
1725,0.168,39.12867,92.78,,0.18,,-0.16,,1.9505924945206892
1726,0.168,40.53102,93.53,,-0.12,,-0.37,,1.9211851577413546
1729,0.09,4.334162,70.53,,3.8,,18.21,,3.0761082311868466
173,0.281,14.43244,94.97,,-0.15,,2.01,,2.950457812912068
1730,0.242,98.43109,95.17,,0.35,,4.07,,0.5249412123228595
1731,0.187,13.383,93.82,,-0.76,,3.33,,1.8592329605781543
1732,0.162,42.6615,94.16,,-0.93,,3.21,,1.5128081964000852
1733,0.346,5.866848,95.25,,-0.81,,4.4,,1.9850157524538226
1734,0.23,93.05525,93.57,,-0.41,,-0.08,,0.7254264566993892
1736,0.17,53.37609,92.95,,-0.19,,1.3,,1.612161115903529
1737,0.328,16.97949,95.36,,-1.04,,5.73,,3.043679189196658
1738,0.278,15.81563,93.32,,0.46,,6.15,,2.9759523853654435
1739,0.274,51.72887,95.57,,0.85,,2.98,,1.3208193638963805
174,0.276,9.981293,94.09,,-0.76,,6.25,,2.1734558458249507
1740,0.058,6.216944,93.97,,-1.08,,6.05,,2.680989360522579
1741,0.228,87.72791,93.57,,0.47,,4.94,,0.6121545332209617
1742,0.276,58.40465,95.41,,0.72,,2.59,,1.731565997321842
1743,0.146,50.44218,86.72,,-0.66,,13.95,,1.8078755367982622
1744,0.147,10.88515,90.0,,-1.11,,7.13,,2.776442222037401
1745,0.19,12.63607,84.39,,-0.25,,13.14,,2.109006502707772
1746,0.294,21.17911,87.21,,-1.16,,13.21,,2.122222616038559
1747,0.163,3.058709,84.86,,-1.05,,15.44,,2.7147081325842612
1748,0.312,12.83871,92.25,,-1.34,,14.85,,2.8183731147095727
1749,0.172,35.2812,91.77,,0.13,,3.56,,1.8941907103360829
175,0.171,68.697925,95.26,,0.94,,0.31,,1.3380579954900673
1751,0.169,44.3531,93.36,,-0.48,,3.66,,1.6476645279426707
1752,0.135,9.407233,89.03,,-0.98,,3.84,,2.6306626107823723
1754,0.121,8.502677,89.99,,-1.23,,4.8,,2.73687562133315
1755,0.124,8.660738,90.53,,-1.1,,4.78,,2.7489165086476213
1756a,0.224,86.92502,92.73,10.76,0.16,0.56,0.54,1.45,0.664207061380216
1756b,0.127,10.80832,92.49,19.77,-1.18,0.3,9.77,1.28,2.6169322174038627
1756c,0.362,24.00266,94.25,16.06,-1.09,0.31,7.15,6.17,2.2704352593949713
1756d,0.347,15.25115,93.1,22.01,-1.09,0.29,7.36,6.89,2.2634741533494895
1756e,0.315,41.33826,91.89,12.55,-0.85,0.59,3.69,2.88,1.6695595867405977
1756f,0.347,40.46597,94.3,34.62,-1.2,0.14,7.19,9.08,1.7718348778519528
1756g,0.333,2.981661,91.79,31.34,-1.15,0.15,8.38,4.32,2.2495980640142768
1756h,0.165,14.51869,92.44,41.49,-0.82,-0.19,6.02,1.37,2.034824638050907
1756i,0.197,4.440202,93.4,37.91,-0.7,-0.38,7.39,2.18,3.376906910212704
1756j,0.366,5.742813,93.83,22.01,-0.86,0.43,9.49,4.8,2.6238219060725947
1756k,0.322,16.27331,93.41,16.9,-1.04,0.4,7.3,8.09,2.8216121457044543
1757,0.17,56.08512,92.26,,0.25,,-0.47,,1.5467035726674714
1758,0.344,15.6463,93.64,,-0.83,,3.46,,1.979041731069696
1759,0.159,62.69733,92.02,,0.29,,-1.14,,1.5023036974542838
1760,0.163,56.31235,92.0,,0.25,,-0.38,,1.6456280135956163
1761,0.351,7.700634,93.84,,-1.03,,4.91,,1.767224404173258
1762,0.206,91.04672,88.19,,2.15,,6.44,,0.7938812629895097
1763,0.235,33.26029,95.12,,-0.82,,4.43,,2.161384109535582
1764,0.239,96.64854,95.11,,-0.97,,4.91,,0.6045842391930614
1765,0.212,66.21352,87.83,,2.03,,5.79,,0.8282305380302181
1766,0.247,4.596033,91.58,,2.2,,2.71,,0.7925935047453072
1767,0.247,23.27654,91.72,,2.53,,1.48,,1.8848262187495457
1768,0.249,98.50704,95.43,,2.15,,-0.79,,0.5682262146237671
1769,0.247,95.83151,94.17,,0.56,,4.63,,0.6065224017473851
177,0.168,63.92036,96.88,,-1.11,,3.69,,1.3291864608336796
1770,0.246,97.38415,94.67,,0.52,,4.32,,0.594907657184714
1771,0.229,72.48512,94.22,,2.03,,-2.95,,0.5718456695089013
1781,0.186,8.609083,91.49,,-1.13,,5.44,,2.480226349542806
1782,0.164,63.08792,91.71,,2.25,,18.41,,1.5449243849000218
1784,0.279,15.9785,95.06,,0.7,,3.01,,2.939868989024807
1785,0.267,67.07146,93.16,,1.4,,1.46,,1.270088614943551
1786,0.147,14.30842,48.92,,7.83,,21.51,,2.975945662666322
1787,0.152,7.523732,89.33,,-1.84,,7.27,,2.1812384724580305
1788,0.168,43.04935,87.74,,-0.6,,9.37,,1.6192573684449691
1789,0.168,61.1995,91.89,,-0.03,,-2.04,,1.463052394047587
179,0.154,42.08232,92.28,,-0.23,,4.52,,1.5545938168236288
1791,0.261,12.39365,93.15,,-0.02,,5.69,,2.8945755413034253
1792,0.35,9.985336,94.08,,-1.24,,5.18,,2.2446819785317387
1793,0.175,44.67496,,,,,5.205598653689572,,1.833579244462878
1794,0.355,14.48532,94.01,,-1.14,,7.53,,1.6094133610598895
1795,0.2708482662016524,10.14972,95.41,,-0.9,,9.03,,2.3056619158067395
1797,0.1845,53.98972,,,,,4.699328536194877,,1.7262870767944538
1798,0.178,51.09813,90.99,,-0.99,,2.72,,1.7872900223793562
1799,0.17,42.80948,91.73,,-0.64,,2.56,,1.7758827879653976
17a,0.173,77.81126,95.01,10.84,1.03,0.53,1.25,0.59,1.477855666272493
17b,0.191,22.74753,94.04,12.23,0.84,0.51,5.87,0.65,2.3358361346937397
17c,0.16,85.10972,92.86,6.42,2.48,0.8,12.1,2.2,1.5476903664920054
17d,0.186,21.08741,92.45,10.11,2.34,0.54,12.76,2.33,2.434905767910731
17e,0.295,8.215443,94.07,22.78,0.63,0.11,6.01,1.02,2.0798559658554914
17f,0.299,2.62918,94.26,27.71,0.88,0.2,5.81,0.18,2.423719608896011
17g,0.282,26.47246,94.27,11.17,0.99,0.48,4.91,1.18,2.949283413744248
17h,0.266,35.51181,94.14,12.21,1.18,0.41,5.01,0.7,2.2248482632263773
17i,0.17,77.77373,94.36,8.74,0.75,0.8,3.42,2.06,1.5942909146054467
17j,0.3,4.976002,94.36,21.34,0.81,0.4,5.32,0.75,2.105812209941611
17k,0.277,3.957932,93.51,22.69,0.58,0.29,7.37,-0.36,2.811943029553634
17l,0.265,33.31743,93.74,6.77,1.19,1.03,5.69,0.44,2.254944013376051
17m,0.28,90.55527,93.49,5.68,0.65,0.28,7.45,0.94,1.4483023353201054
17n,0.298,4.947713,94.11,24.17,-0.31,0.19,7.77,2.8,1.9904599215409617
17o,0.299,1.06094,94.28,25.95,-0.32,0.25,8.69,-0.73,2.0762194871259987
17p,0.276,4.568641,93.96,24.71,-0.03,0.15,9.34,2.57,2.6745462070901316
17q,0.271,4.258054,92.61,22.87,1.06,0.23,13.4,0.34,2.6953276712786227
18,0.164,55.16263,92.85,,-0.45,,-0.46,,1.5141132953038405
180,0.169,49.82726,93.85,,-0.24,,2.75,,1.5852807220850063
1800,0.185,48.46673,90.92,,0.16,,-0.84,,1.5794454386472139
1802,0.171,8.583584,92.49,,-0.4,,9.77,,1.8626215364697618
1803,0.166,8.58795,92.33,,-0.59,,9.78,,1.487806854923446
1804,0.341,13.77574,91.62,,-0.65,,8.39,,1.8398501158773566
1805,0.334,7.724702,90.95,,-1.08,,7.72,,1.956019211211158
1806,0.347,20.94227,91.16,,-0.8,,7.28,,1.7359829428432518
1807,0.173,57.57758,89.73,,0.41,,5.06,,1.3684550124513368
1808,0.176,53.85524,88.88,,-0.1,,6.46,,1.3981617992840993
1809,0.159,7.708393,90.67,,-0.64,,10.1,,1.9913186827659952
181,0.327,44.41263,96.08,,0.43,,0.11,,1.5237056758337844
1810,0.167,7.240327,92.77,,-0.91,,4.95,,1.9290774508144166
1811,0.239,31.40581,95.72,,-0.2,,0.52,,1.9967897213420573
1812,0.23,90.01215,92.29,,0.5,,0.65,,0.6505489507681984
1813,0.285,19.06599,95.37,,0.43,,0.92,,2.3739088912574626
1814,0.225,42.71357,92.82,,0.4,,0.62,,1.174313276482855
1815,0.2651181814434359,12.55962,92.69,,-0.35,,7.12,,2.4702063169141293
1816,0.2724360104853285,10.16766,93.25,,-0.86,,9.87,,2.556185590169367
1817,0.283,12.4414,91.96,,0.33,,5.1,,1.803534699144298
1818,0.261,7.001917,,,,,9.072745987281294,,2.4489873248362155
1819,0.2362696498331251,41.35481,90.66,,-0.34,,2.73,,1.450096336825004
182,0.36,10.36735,95.09,,-0.82,,7.81,,2.139508906222441
1820,0.305,9.340692,90.85,,0.13,,8.34,,1.887516590049114
1821,0.2668201253280631,10.19987,91.85,,-1.32,,7.17,,2.597147251620394
1822,0.167,20.78948,67.16,,1.55,,7.14,,2.087347458371485
1823,0.163,44.31149,89.63,,0.77,,2.69,,1.2566607977583468
1824,0.165,39.45487,90.3,,0.51,,1.94,,1.2595262853389382
1825,0.166,41.90276,89.52,,0.74,,2.22,,1.2389999994393193
1826,0.2578103694212878,3.614281,91.45,,-0.35,,0.37,,1.8957295003267418
1827,0.173,65.60801,89.78,,-1.79,,3.32,,1.2454769722031733
1828,0.352,11.53986,92.98,,-0.95,,1.48,,2.093210342324364
1829,0.269,80.86845,93.8,,1.12,,0.42,,0.9463380098550682
183,0.272,93.60771,30.34,,16.2,,35.58,,1.5864446554850637
1830,0.244,32.34354,95.59,,-0.15,,1.05,,1.9541268883132408
1831,0.182,63.38977,92.98,,0.15,,0.02,,1.53198091518132
1832,0.184,66.58689,90.46,,-0.18,,1.84,,1.686812674840392
1834,0.338,10.49029,94.04,,-0.86,,10.47,,2.0408969889664763
1835,0.167,10.43515,93.16,,-0.46,,5.23,,1.9897542838354991
1837,0.227,41.56118,93.16,,-0.55,,1.22,,1.133805168280203
1838,0.265,17.51313,91.84,,0.24,,5.85,,2.6456255099493187
1839,0.155,18.309,88.11,,-0.57,,11.73,,2.1459731828824853
184,0.236,49.79898,89.88,,-0.43,,9.79,,1.5265433225410465
1840,0.325,17.41372,88.12,,-1.44,,9.89,,2.0824444747911026
1841,0.236,29.76538,94.38,,-0.56,,1.08,,1.3956423676392933
1842,0.233,28.92793,94.09,,-0.74,,1.66,,1.380062437861305
1843,0.284,9.627254,96.6,,0.22,,0.9,,1.7462316979910883
1844,0.244,31.35339,94.58,,1.82,,-4.92,,1.7714323364203697
1845,0.342,64.22955,96.89,,0.86,,-1.76,,1.260528978023156
1846,0.357,65.46887,96.94,,1.1,,-2.13,,1.2458326555073085
1847,0.234,29.45356,95.19,,-0.21,,0.79,,0.5288069787602333
1848,0.226,69.564,95.23,,0.1,,1.08,,0.5759623073161281
1849,0.241,95.90496,95.53,,-0.19,,0.32,,0.5174032253819584
185,0.159,37.96004,94.24,,-0.73,,4.26,,1.8479845511416007
1850,0.17,44.88769,92.4,,-0.06,,0.15,,1.714537263031527
1851,0.366,9.329598,95.5,,-0.84,,8.35,,1.9241119131284787
1852,0.377,9.401214,94.87,,-0.7,,8.25,,2.0268766985192315
1853,0.167,46.22551,91.45,,-0.11,,0.14,,1.6746875180787457
1854,0.166,49.57951,90.38,,0.03,,-0.29,,1.7859013231787804
1855,0.172,37.61074,91.2,,-0.16,,-1.39,,1.9607519305837275
1856,0.1815,32.045325,90.38,,0.16,,-0.76,,1.976109591335966
1857,0.165,49.12181,90.82,,0.07,,-1.23,,1.8784520937220273
1858,0.183,40.14983,90.03,,-0.26,,1.08,,2.146109496251356
1859,0.373,6.130733,96.67,,-1.0,,9.31,,3.152586787853735
186,0.267,56.62791,30.08,,14.54,,33.13,,2.354712335815806
1860a,0.38,7.425429,96.6,,-1.08,,8.17,,2.7035309835594825
1860b,0.296,23.47063,94.7,,-0.71,,2.8,,2.5805609558193066
1860c,0.243,97.28526,92.6,,1.6,,1.01,,0.7506462261515542
1860d,0.231,4.517986,91.65,,2.42,,3.42,,2.5580584782093387
1860e,0.262,29.25732,74.08,,-0.3,,-0.34,,3.9633421781490488
1860f,0.25,7.025759,,,,,7.489352098769211,,2.004584527362346
1860g,0.244,12.35495,90.55,,0.54,,21.95,,2.1254011485140394
1861,0.296,7.13126,96.82,,0.23,,0.97,,1.3594117087301383
1862,0.302,63.66716,90.89,,-0.42,,6.52,,1.5389729014375917
1863,0.176,56.55358,92.15,,0.2,,-2.22,,1.5881105338739199
1864,0.18,43.51791,90.88,,-0.21,,-1.18,,1.932360239402212
1865,0.182,52.0285,90.99,,-0.4,,-0.71,,1.6980831708243245
1866,0.171,49.24048,90.97,,-0.12,,-1.15,,1.90337328124915
1867,0.181,45.94899,91.44,,0.06,,0.13,,1.6884643063286637
1868,0.17,52.37109,91.42,,0.2,,-2.45,,1.5558534047248147
1869,0.161,56.73385,91.63,,-0.13,,-0.08,,1.451849020186192
187,0.17,7.338163,94.19,,-0.67,,5.36,,1.962987359264685
1870,0.174,60.82877,92.17,,0.04,,-1.87,,1.4717986697069096
1871,0.171,60.4544,92.15,,0.28,,-1.62,,1.5184981428802118
1872,0.373,8.982765,94.25,,-0.68,,9.12,,2.025355994328535
1873,0.296,6.915525,91.97,,1.38,,5.55,,1.472581137236873
1874,0.293,6.749422,96.66,,0.22,,1.05,,1.4301295789623951
1875,0.241,28.81886,93.72,,1.89,,-3.85,,1.925037172812956
1876,0.207,96.1254,,,,,11.169199151722399,,3.9402966902319516
1877,0.241,15.52308,94.11,,2.05,,-3.88,,1.9302048996979901
1878,0.233,19.95741,66.75,,-0.69,,-0.99,,4.13385806515003
1879a,0.184,92.72072,86.99,13.79,-1.42,0.57,7.15,2.17,1.378735101944485
1879b,0.33,91.9492,91.64,13.39,-1.31,0.38,8.7,2.95,1.2346600573449704
1879c,0.186,11.06779,91.05,28.29,-1.05,0.24,5.77,0.47,2.234208750232082
1879d,0.183,11.23938,91.06,24.02,-0.99,0.48,5.92,0.69,2.2036758500225595
1879e,0.314,9.831049,91.55,26.47,-1.11,0.42,8.15,1.5,2.0041885352616213
1879f,0.336,13.37912,92.56,17.52,-0.93,0.73,11.05,1.29,2.2020275678571424
1879g,0.177,91.25573,91.04,20.55,-1.46,-0.4,6.44,-1.89,1.3351819176880553
1879h,0.331,92.50116,92.53,11.93,-1.29,0.09,7.31,0.34,1.0890315894415765
1879i,0.338,10.72113,88.99,25.75,-1.28,0.08,10.07,-0.47,2.0559789839354794
1879j,0.187,94.52661,90.05,13.29,-1.47,0.71,7.89,3.43,1.354825475571445
1879k,0.313,10.49908,91.45,16.44,-1.08,0.48,13.39,3.58,2.428865909310212
1879l,0.347,14.91958,89.12,13.5,-0.53,0.36,14.52,2.91,2.8938634829367893
1879m,0.331,5.63259,91.46,28.82,-1.0,0.33,12.19,3.09,2.3856872931834707
1879n,0.358,17.69372,93.11,14.23,-1.2,0.32,12.27,-1.33,2.3837982228300074
1879o,0.304,10.54781,89.46,19.15,0.87,0.68,21.23,5.3,2.4382613000181568
1879p,0.399,7.25567,91.77,22.72,-0.65,0.22,13.1,-3.89,2.745664769254957
1879q,0.211,2.756817,90.85,29.09,-1.18,0.15,13.15,0.74,3.2188641074987423
1879r,0.153,6.809779,91.43,22.68,-0.43,1.0,11.76,1.99,2.7240168446559645
1879s,0.292,9.112319,89.41,21.9,0.72,9.83,20.44,11.52,2.65296820292718
1879t,0.311,5.313546,90.83,23.07,-0.34,5.63,14.58,5.12,2.429528211122011
1879u,0.311,6.923069,89.9,20.26,-0.71,3.81,17.31,6.33,2.367205093992456
188,0.159,56.3823,92.93,,-0.21,,1.6,,1.610083557050354
1880a,0.15,7.577053,82.0,30.5,-0.46,0.35,16.92,-4.11,2.428258439634559
1880c,0.16,3.638259,83.87,,-0.21,,14.92,,2.592468866028139
1880f,0.1,2.78205,76.05,,0.85,,17.03,,2.6655614555059683
1880g,0.11,2.156435,,39.17,,0.09,6.924636660034426,3.11,2.2087779585296596
1880h,0.13,10.90079,77.97,,0.55,,18.93,,2.515060241008196
1880i,0.11,11.01288,80.53,23.58,0.62,0.33,20.0,1.4,2.50619421231837
1880j,0.13,8.845253,69.51,31.54,0.14,0.22,15.6,3.08,2.538434184579276
1880k,0.14,10.81101,79.6,,0.94,,19.52,,2.621148325522273
1880l,0.1,10.06417,75.64,31.01,0.15,0.02,17.57,2.19,2.5774737159635612
1880m,0.16,11.29761,81.5,20.21,0.2,0.55,14.99,1.81,2.4857390110634268
1880n,0.16,7.118436,74.11,24.49,0.99,0.91,19.1,3.14,2.6612539827524793
1880o,0.16,8.207575,75.49,24.54,0.56,0.26,17.82,2.16,2.6096070325508616
1880p,0.16,10.02998,80.54,25.25,-0.04,0.54,17.41,5.36,2.363004905107957
1880q,0.12,87.20573,85.95,20.04,-0.81,0.45,12.86,3.71,1.5537235021889106
1880r,0.15,3.110807,80.42,30.5,-0.51,0.43,12.13,-0.14,2.521288861780671
1880s,0.12,8.722785,77.82,25.38,0.78,0.6,18.97,3.03,2.5004841780813636
1880u,0.11,7.074317,80.11,21.79,0.12,0.6,17.39,1.27,2.614605317242778
1880v,0.13,2.24447,80.2,33.47,-0.15,0.33,17.69,0.76,2.691208474145026
1880w,0.15,1.864869,82.12,34.39,-0.18,0.96,17.67,2.38,2.695602218706355
1880x,0.11,1.858259,82.55,,-0.29,,16.46,,2.662343217346966
1880y,0.14,2.08489,79.5,,0.53,,19.55,,2.745846052568387
1882a,0.304,1.555175,84.01,33.38,-0.79,0.26,9.52,-3.53,1.8238469589244142
1882b,0.36,1.621632,89.63,28.7,0.19,0.31,6.99,0.6,2.3203150965055066
1882c,0.299,5.214908,86.71,27.83,-0.85,0.23,9.93,1.15,1.7188694434088048
1882d,0.287,1.443017,90.22,33.69,0.96,0.22,16.78,1.59,1.6501778649369738
1882e,0.322,4.143158,88.17,27.63,1.85,0.32,18.56,1.71,1.7255276106324924
1882f,0.309,93.30441,88.29,16.77,0.04,0.14,3.92,1.37,1.1213761853042399
1882g,0.307,12.59701,86.51,20.75,-0.67,0.46,9.71,3.13,1.762011478024179
1882h,0.286,10.92497,88.82,25.53,1.58,0.49,18.36,5.47,1.5775462343340692
1882i,0.31,0.4435001,88.09,27.64,2.36,0.48,17.29,4.61,3.0671746880874573
1882j,0.346,5.306016,90.1,23.28,-1.54,0.47,12.66,0.61,2.8331599651424257
1882k,0.339,6.249316,88.47,26.2,-0.11,0.76,20.21,1.05,2.7712547950181787
1882l,0.318,8.816546,89.89,25.73,-1.0,0.05,10.7,4.33,2.487148710535245
1882m,0.303,4.579478,90.47,30.64,-0.06,0.21,19.57,-3.09,2.5033863153297897
1882n,0.311,14.90492,89.27,18.21,-0.61,0.48,9.58,2.47,2.5738672557709332
1882o,0.304,2.630566,87.86,30.94,0.02,0.38,11.14,1.42,2.761542386812083
1882p,0.286,3.709874,86.55,27.22,2.68,0.48,19.23,3.78,2.7707482445701963
1882q,0.385,2.231035,88.62,29.0,-1.24,0.46,16.81,0.67,2.3923002885690465
1882r,0.363,2.800445,87.92,31.18,0.17,0.4,22.06,1.91,2.380292023478719
1882s,0.481,0.7068604,84.17,19.5,1.5,0.44,20.47,0.57,3.4690588607454074
189,0.164,53.18965,94.49,,-0.42,,-0.31,,1.3471054397212165
190,0.371,7.803193,94.73,,-1.09,,9.63,,2.165997924549828
