catalog,thickness,g60,LAB_L_dmin,LAB_L_dmax,LAB_A_dmin,LAB_A_dmax,LAB_B_dmin,LAB_B_dmax,logroughness
1402,0.306,6.193983,93.96,,-1.68,,12.06,,2.5018367909736967
1403,0.286,5.148491,93.74,,-1.63,,10.61,,2.917001080180951
1404,0.173,41.20567145290109,90.88,,-1.01,,7.02,,1.7740424165416329
1405,0.169,67.06042,90.75,,-1.33,,8.98,,2.275728154495719
1406,0.181,54.58039,89.07,,0.29,,4.02,,1.5428380465497737
1407,0.353,6.367239,95.73,,-1.19,,5.6,,2.514088594220875
1408,0.242,95.76772,95.28,,-1.13,,4.07,,0.6555339601749314
1409,0.155,41.02711,94.89,,-1.05,,3.61,,1.6919928894919511
141,0.16,50.6839,92.62,,-0.66,,0.63,,1.54598420146401
1410,0.174,25.31988,92.95,,-0.34,,5.6,,1.7571815311358447
1411,0.258,41.22083,95.49,,0.75,,1.69,,2.011060923287247
1412,0.255,37.06482,95.41,,1.13,,2.27,,1.9626247395674177
1413,0.226,32.36362,93.78,,1.16,,-3.84,,0.9348845154484273
1414,0.26,44.3326,95.42,,0.63,,2.24,,1.9150256227904205
1415,0.255,33.91756,95.39,,0.68,,1.75,,2.161690316834932
1416,0.256,42.71313,95.59,,0.85,,2.87,,1.9005677637067422
1417,0.26627652513150923,8.564925,94.82,,-1.33,,6.16,,1.8693159768220264
1418,0.167,42.76546,93.43,,-0.91,,5.41,,1.6559677521516871
1419,0.266,9.862474,89.8,,0.16,,14.68,,2.762189338007065
142,0.175,63.03162,91.15,,-0.09,,0.97,,1.3892987879321328
1420,0.329,9.840034,94.41,,-1.0,,5.15,,1.7295894325259422
1422,0.266,6.821753,94.46,,-0.83,,7.97,,2.483003233727471
1423,0.188,9.371634,90.01,,-0.43,,2.75,,1.73233086863609
1424,0.205,94.26584,49.06,,18.07,,51.97,,1.0349770996082073
1425,0.1735,47.13378,,,,,4.817017349872086,,1.7402657242120312
1426,0.2640151848556278,9.882336,94.14,,-1.18,,5.47,,1.69472097222176
1427,0.25638307723463194,9.010428,90.53,,-0.27,,1.51,,1.838574771141845
1428,0.2658812756698185,8.920992,93.24,,-1.27,,6.1,,1.9070812968675859
1429,0.268,60.07394,93.88,,0.15,,8.35,,1.3883222266520803
143,0.169,35.48994,90.11,,0.16,,0.86,,1.57790672369036
1430,0.372,9.398828,95.08,,-0.56,,9.18,,2.207696393201504
1431,0.272,6.3482,93.58,,0.38,,5.66,,3.043320609297737
1432,0.26,6.988413,92.92,,0.76,,6.73,,2.80624663498597
1433,0.2661995496760664,9.173555,94.1,,-1.29,,6.28,,1.6711577669241002
1434,0.2558152910818069,8.856596,90.62,,-0.15,,1.17,,1.7911063064258732
1435,0.2583238644402781,8.223717,90.37,,-0.62,,2.16,,1.7555324313799878
1436,0.25574640647681646,9.966036,90.8,,-0.35,,1.51,,1.7668701417455557
1437,0.265,4.399528,93.52,,-1.2,,6.36,,3.0606492568141954
1439,0.314,21.38784,94.66,,-0.78,,3.64,,1.8863089723938267
144,0.257,34.04958,89.86,,-1.47,,10.62,,1.5701299557895136
1440,0.2555310859153515,8.675304,90.64,,-0.92,,0.95,,1.7123981455965926
1441,0.2661114664838267,8.910309,94.69,,-1.51,,6.16,,1.7207882105295793
1442,0.336,10.62615,90.74,,1.01,,20.16,,2.06715937226207
1443,0.27154262162022536,8.539044,85.99,,-1.14,,8.87,,2.518111888439346
1444,0.261,58.17249,92.0,,-1.49,,4.75,,1.7744532229569403
1445,0.158,48.71432,92.15,,-0.04,,2.74,,1.5043249471304725
1446,0.156,7.710085,89.58,,-1.15,,7.92,,2.575363376981194
1447,0.149,12.74553,85.09,,-1.19,,9.85,,2.4407232219081845
1448,0.148,9.835836,86.33,,-1.28,,9.88,,2.6412495387858557
1449,0.22,4.178939,88.2,,-0.87,,8.48,,2.4366251370415233
145,0.172,49.90302,,,,,4.698522182844674,,1.7307577245268888
1450,0.143,14.98033,86.46,,-0.94,,11.42,,2.3010645487520747
1451,0.146,27.85241,76.13,,0.53,,21.94,,2.9204051720937856
1452,0.137,17.57539,55.72,,0.76,,7.45,,4.1279980892092585
1453,0.15,8.566293,88.14,,-1.16,,11.6,,2.4621823870131676
1454,0.16,32.49037,91.0,,-1.48,,-0.11,,1.5531370403339388
1455,0.15,12.56157,86.32,,-1.37,,9.5,,2.4647543232957623
1456,0.222,4.172484,88.74,,-0.95,,8.06,,2.565885719456984
1457,0.157,16.43975,85.43,,-1.47,,10.55,,2.4873343430209225
1458,0.174,52.24576,92.31,,0.12,,-1.83,,1.5930599442367503
1459,0.172,51.22952,91.9,,0.37,,-1.87,,1.5562784233000944
146,0.326,6.554399,94.09,,-1.15,,8.75,,2.3542434438183526
1460,0.157,11.17867,86.93,,-1.21,,9.12,,2.5165408575969894
1461,0.182,56.826565,93.47,,-0.12,,1.59,,1.4128253363394945
1462,0.178,60.22919,94.6,,-0.49,,2.62,,1.4249398501580255
1463,0.159,61.71802,93.43,,-0.59,,2.44,,1.3072467388043323
1464,0.172,61.56326,93.64,,-1.12,,5.28,,1.402479899751279
1465,0.176,70.67408,94.25,,-0.72,,3.63,,1.1895722918952103
1466,0.317,67.45556,94.59,,-0.23,,3.18,,1.414460456489486
1467,0.293,71.65339,94.72,,-0.29,,3.27,,1.375182561032221
1468,0.29,54.67537,94.64,,-0.4,,3.64,,1.5326976342122058
1469,0.292,51.98339,94.5,,-0.31,,3.54,,1.5776548229450804
147,0.182,60.59706,91.83,,0.24,,-0.73,,1.5375370164304982
1470,0.306,49.9689,94.73,,-0.47,,3.92,,1.5967390732096198
1471,0.313,70.46916,94.6,,-0.31,,3.36,,1.33425586776877
1472,0.306,69.817035,94.55,,-0.25,,3.32,,1.3596959602316094
1473,0.295,49.32664,94.75,,-0.36,,3.51,,1.5761859559446763
1474,0.178,49.02733,92.31,,-0.3,,3.18,,1.4346127981357015
1475,0.16,10.40487,94.12,,-0.47,,4.8,,1.9960584310201888
1476,0.175,57.63572,93.62,,-0.66,,4.14,,1.683225866116899
1477,0.174,57.5546,94.55,,-0.53,,2.74,,1.4388367605457861
1478,0.407,5.56549,93.46,,-0.42,,10.99,,2.4506205621200223
1479,0.29852720811946787,5.4108,92.93,,-0.09,,21.03,,3.113931918934837
148,0.169,64.63084,94.37,,0.52,,-0.66,,1.1209761681755301
1480,0.336,6.030549,96.49,,-0.8,,4.45,,1.9931364179365916
1481,0.2977063068746056,5.346996,92.73,,-0.19,,20.61,,3.1125873995664075
1482,0.36,10.14928,94.37,,-1.6,,10.49,,1.7307602653445087
1483,0.288,27.77467,14.0,,0.24,,0.18,,3.9153081058232435
1484,0.288,32.27782,8.28,,1.01,,3.66,,4.288709068472372
1485,0.288,31.27252,15.88,,0.86,,-0.1,,3.8702553498014356
1486,0.291,28.91746,14.32,,-0.16,,-0.35,,3.770543327126132
1487,0.289,28.96393,14.49,,1.39,,0.82,,3.827459630299089
1488,0.29,28.94681,14.31,,0.47,,-0.07,,3.7589493375452303
1489,0.287,31.42373,13.88,,0.25,,0.31,,3.873454407379943
149,0.358,9.749304,94.86,,-0.93,,8.13,,2.199572590793274
1490,0.289,32.45483,14.58,,0.75,,0.41,,3.9674110110633793
1491,0.287,30.76672,13.08,,0.55,,0.02,,3.8444693525733853
1492,0.289,29.2327,13.12,,0.23,,0.19,,3.9137747440607527
1493,0.292,29.6227,13.72,,-0.01,,-0.13,,3.9933964244455593
1494,0.288,32.25499,13.13,,-0.09,,0.57,,3.8815105396077496
1495,0.169,40.62876,90.28,,-0.11,,4.68,,1.7209147291053721
1496,0.163,50.26194,90.82,,-0.06,,3.24,,1.7332730538285188
1497,0.339,7.241206,92.16,,-1.26,,11.49,,2.3192734076756016
1498,0.366,19.08969,92.39,,-0.29,,2.08,,1.9215221996532847
1499,0.176,46.46858642858383,90.89,,-0.3,,0.66,,1.6753271583138765
15,0.348,10.00474,95.09,,-0.98,,6.11,,2.0870257867093804
150,0.177,57.82214,90.37,,-0.01,,1.57,,1.703619168982128
1500,0.164,47.77604,92.07,,-0.38,,1.99,,1.7522627740450272
1501,0.145,8.160911,88.95,,-1.59,,5.69,,2.254710188214417
1502,0.149,12.31438,89.33,,-1.5,,5.27,,2.105319676004712
1503,0.167,46.94094,85.29,,-0.58,,13.22,,2.2364235223513362
1504,0.163,11.13499,84.49,,-0.79,,14.36,,2.2757406356225363
1505,0.32,49.96725,94.5,,-0.61,,4.54,,1.623540965946952
1506,0.257,6.027856,93.61,,-1.51,,6.93,,3.181001857406402
1507,0.268,5.963142,93.65,,-1.55,,6.89,,3.0305656061481097
1508,0.261,6.065725,93.1,,-1.47,,6.83,,2.989420742868147
1509,0.262,6.156287,93.18,,-1.51,,7.11,,3.193794551289532
151,0.168,64.57281,95.26,,0.92,,-1.8,,1.24549134673979
1510,0.182,10.99194,93.01,,-2.43,,8.24,,2.1930985580318647
1511,0.344,7.707989,95.26,,-0.64,,3.22,,1.9540898954889228
1512,0.34,9.388827,95.64,,-0.89,,8.53,,1.995162694157623
1513,0.345,7.609544,95.04,,-0.55,,4.35,,1.945325149673401
1514,0.183,25.66705,93.51,,-0.15,,2.33,,2.042340843360026
1515,0.342,8.088305,95.3,,-0.89,,8.87,,1.908641679049154
1516,0.356,9.91206,95.34,,-1.01,,5.65,,1.976562584287636
1517,0.323,49.56853,93.87,,-0.26,,1.73,,1.7613413101881892
1518,0.169,57.18786,94.65,,-0.94,,3.55,,1.5425407689060775
1519,0.339,10.14412,95.15,,-0.68,,7.85,,1.8986532812331587
152,0.168,44.084,89.78,,-0.42,,2.99,,1.7893548394358791
1520,0.362,11.10151,95.43,,-0.79,,5.39,,1.7902417176376955
1521,0.34,11.05034,91.9,,-0.87,,8.81,,2.295259656766497
1522,0.354,7.106117,91.77,,-0.9,,14.52,,2.933426629316347
1523,0.343,9.785072,92.79,,-1.43,,5.7,,2.2712141098585206
1524,0.364,12.09571,94.09,,-0.66,,8.83,,2.8479681836255692
1525,0.347,7.288619,,,,,10.068928739970715,,2.4978966276808423
1526,0.331,6.73475,92.45,,-0.79,,8.53,,2.3298499178767815
1527,0.252,35.98094,95.29,,0.95,,1.75,,2.0744071273579294
1528,0.151,40.01239,96.81,,-0.06,,1.28,,1.7883569321552448
1529,0.323,9.700953,94.67,,-0.83,,6.93,,1.982936446150992
153,0.312,5.842883,94.23,,-2.11,,12.02,,2.677586156855857
1530,0.33,50.60096,92.98,,-2.07,,5.98,,1.5813169193465622
1531,0.175,48.18478,91.74,,-0.73,,5.46,,1.6511821829789957
1532,0.173,46.42357,91.65,,-0.95,,7.63,,1.5287549308420592
1534,0.174,47.16278,92.78,,-1.17,,6.0,,1.6002070851436858
1535,0.314,55.60615,92.27,,-1.4,,7.87,,1.5442321146388676
1537,0.178,46.63945,90.24,,-0.35,,2.3,,1.767883072423787
1538,0.18,34.45374,90.74,,-0.26,,2.08,,2.0449913289165638
1539,0.161,52.07623,86.75,,-0.27,,1.84,,1.582403903109233
154,0.184,35.29502,91.0,,-0.27,,1.3,,1.9824092743453252
1540,0.269,23.97805,95.09,,0.98,,3.46,,2.3473185137450656
1541,0.164,54.144,96.31,,1.01,,-0.0,,1.6569050845221842
1542,0.126,5.399503,94.73,,0.78,,0.52,,2.525119119563053
1543,0.163,55.25537,86.53,,0.44,,-0.18,,1.7594741002039447
1544,0.175,44.4304,92.79,,-0.36,,0.29,,1.420594611624851
1545,0.142,36.52079,88.54,,0.96,,5.93,,1.9921294760009256
1546,0.158,50.6715,86.96,,0.34,,-0.11,,1.7919950184476354
1547,0.163,52.47742,86.63,,0.85,,-0.95,,1.8053378016907866
1548,0.164,52.59243,86.53,,-0.2,,1.74,,1.8238695092747736
1549,0.337,13.03459,94.88,,-0.98,,6.53,,2.095270032300063
155,0.18,65.67224,95.84,,-0.82,,1.72,,1.3341572431996194
1550,0.166,10.59289,88.61,,-1.56,,9.02,,2.1851295185430795
1551,0.306,53.04394,95.03,,-0.03,,3.43,,1.511848440720029
1552,0.175,8.358428,94.91,,-0.92,,4.79,,1.926414416444561
1553,0.318,13.29305,92.61,,-0.23,,4.29,,1.9114833407759975
