catalog,localpath,roughness,thickness,g60,LAB_L_dmin,LAB_A_dmin,LAB_B_dmin,LAB_L_dmax,LAB_A_dmax,LAB_B_dmax
1023i,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.1_jd/1023i_dv_2.tif,0.0553152560077622,0.329,,85.12,-0.94,9.78,26.11,0.48,2.12
1023j,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.1_jd/1023j_dv_2.tif,0.0848307935886882,0.353,,86.06,-0.47,17.39,29.48,0.75,3.57
1023l,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.1_jd/1023l_dv_1.tif,0.0471301566638712,0.396,,85.04,0.77,20.36,,,
1023m,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.1_jd/1023m_dv_0.tif,0.0875428756827386,0.357,,86.33,-0.02,19.52,37.02,0.04,-2.99
1023n,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.1_jd/1023n_dv_2.tif,0.0935665417480863,0.184,,88.08,-1.34,10.1,37.98,-0.18,-1.36
1023o,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.1_jd/1023o_dv_0.tif,0.1046094694188647,0.242,,85.39,-1.16,13.8,31.47,0.43,-0.08
1023p,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.1_jd/1023p_dv_2.tif,0.0516479430991903,0.375,,87.55,-1.27,12.07,31.07,1.1,6.34
1023q,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.1_jd/1023q_dv_1.tif,0.0518447175064736,0.38,,81.83,1.0,23.41,33.72,2.55,9.84
1023r,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.1_jd/1023r_dv_0.tif,0.099580964906405,0.364,,87.65,0.18,20.26,38.79,-0.45,0.33
1023s,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.1_jd/1023s_dv_1.tif,0.0307938596565265,0.191,,91.17,-1.39,7.8,36.22,0.02,-2.05
1023t,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.1_jd/1023t_dv_2.tif,0.0088140366677328,0.162,,90.26,-1.06,8.12,20.22,0.18,4.14
1023u,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.1_jd/1023u_dv_0.tif,0.011668357060412,0.311,,90.6,-0.95,7.04,17.75,0.76,4.82
1023v,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.1_jd/1023v_dv_1.tif,0.0802116970078681,0.334,,88.01,-0.6,12.07,22.28,0.39,2.42
