catalog,localpath,roughness,thickness,g60,LAB_L_dmin,LAB_A_dmin,LAB_B_dmin,LAB_L_dmax,LAB_A_dmax,LAB_B_dmax
5513n,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5513n_ai_1.tif,0.0564004131870349,,8.529072,93.42,-1.25,9.98,25.14,-0.25,5.63
5513o,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5513o_ai_0.tif,0.1434797346271598,,12.52326,91.75,-1.14,11.69,19.07,-0.32,10.0
5513p,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5513p_ai_2.tif,0.0255648363705178,,12.4774,92.21,-0.78,5.5,26.25,-0.07,7.12
5513q,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5513q_aj_1.tif,0.018336382694075,,95.98797,90.57,-0.14,2.46,20.44,0.73,1.52
5513r,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5513r_aj_1.tif,0.0791159064204358,,10.08794,92.92,-0.5,9.51,31.42,-0.05,3.18
5513s,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5513s_aj_0.tif,0.0360485289559088,,16.0169,91.36,1.76,1.46,31.48,0.4,1.22
5513t,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5513t_ap_2.tif,0.0906506460912525,,4.16669,94.59,-1.46,10.64,37.67,-0.23,5.22
5513u,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5513u_ac_2.tif,0.0103207081241124,,93.53938,91.35,-0.87,1.52,23.61,-0.54,-1.3
5513v,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5513v_ac_1.tif,0.0136689227201694,,92.50777,92.66,-0.83,0.58,13.09,0.57,2.37
5513w,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5513w_al_1.tif,0.0136723199038818,,86.54977,91.77,-0.19,1.33,13.84,0.2,3.72
5513x,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5513x_al_0.tif,0.0674149025126112,,10.14583,93.23,-0.48,11.38,27.53,-0.72,9.28
5513y,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5513y_al_1.tif,0.104173845719273,,13.28303,93.76,-1.3,11.1,,,
5513z,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5513z_as_1.tif,0.0706733900282848,,4.233237,92.33,0.13,10.89,26.45,0.64,-1.94
5514a,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5514a_aa_1.tif,0.0745244695719876,,7.122617,91.91,-0.58,13.72,39.67,-0.58,8.68
5514aa,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5514aa_aa_1.tif,0.0200289204418333,,49.85882,91.47,-0.12,4.13,17.53,1.37,0.96
5514b,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5514b_aa_1.tif,0.0835204900760927,,6.336159,93.33,-0.81,8.05,33.68,-0.03,7.37
5514c,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5514c_aa_1.tif,0.0695198804029203,,7.229798,92.99,-0.23,7.31,37.43,8.69,12.18
5514d,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5514d_aa_1.tif,0.1181468698791661,,10.8756,93.56,-0.99,9.21,14.63,0.13,6.28
5514e,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5514e_aa_1.tif,0.0800985739263567,,12.59365,92.67,-1.4,12.88,11.98,0.26,4.64
5514f,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5514f_ac_2.tif,0.0109274692753342,,96.71358,90.57,0.65,-1.49,21.84,0.8,5.04
5514g,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5514g_ac_1.tif,0.0888034426444956,,9.241738,91.11,-0.66,10.49,58.35,-0.56,8.0
5514h,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5514h_ac_1.tif,0.0954436070408119,,8.368792,93.34,-0.8,9.45,51.08,5.26,15.93
5514i,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5514i_ac_1.tif,0.1027247491260047,,10.58838,91.89,-1.2,13.08,25.22,-0.24,6.42
5514j,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5514j_ac_1.tif,0.1430197747867754,,11.8669,91.83,-1.1,9.81,21.81,-0.1,5.73
5514k,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5514k_ai_2.tif,0.0880437544253824,,11.71865,94.34,-1.58,11.58,21.96,0.23,10.11
5514l,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5514l_ai_1.tif,0.0681569903148914,,6.493593,94.46,-1.04,9.77,30.91,-0.04,8.03
5514m,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5514m_ai_1.tif,0.0573132507452556,,5.443617,93.88,-0.93,9.71,27.52,8.66,9.76
5514n,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5514n_ai_1.tif,0.0521111896326582,,9.179519,93.76,-0.86,8.07,26.99,-0.44,6.7
5514o,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5514o_ai_1.tif,0.1478810262890916,,11.92548,93.51,-1.23,9.54,19.63,-0.36,9.29
5514p,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5514p_ai_0.tif,0.0233579007628876,,11.23916,93.3,-0.31,3.11,21.1,0.45,4.57
5514q,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5514q_aj_0.tif,0.0157896078323327,,97.75208,90.52,0.32,-0.0,27.9,0.6,0.46
5514r,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5514r_aj_1.tif,0.0857853961636142,,10.42644,94.15,-0.27,6.19,40.07,-0.09,2.85
5514s,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5514s_aj_0.tif,0.0356000865283443,,17.18797,91.59,2.06,0.16,31.35,0.54,1.24
5514t,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5514t_ap_0.tif,0.1195051909222073,,3.197799,94.91,-1.27,9.06,38.71,-0.06,3.8
5514u,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5514u_ac_1.tif,0.0097741688320473,,94.52267,90.94,-0.51,-0.12,19.87,-0.17,-1.5
5514v,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5514v_ac_2.tif,0.0105867039564702,,96.633,92.43,-0.41,-1.58,17.94,-0.34,2.24
5514w,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5514w_al_0.tif,0.0104993443595864,,95.54574,91.83,0.36,-1.02,16.24,0.19,3.47
5514x,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5514x_al_1.tif,0.0818703215459009,,12.31462,92.11,-0.45,10.22,25.8,-0.73,8.87
5514y,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5514y_al_2.tif,0.1229705512508059,,12.94381,93.86,-1.37,9.41,,,
5514z,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5514z_as_1.tif,0.0719251135602942,,4.478659,92.64,1.0,7.81,25.34,1.11,-0.21
5515a,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5515a_aj_2.tif,0.0101319664821884,,88.67786,87.65,-0.3,2.25,20.32,0.54,1.81
5515b,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5515b_aj_1.tif,0.0603486081213466,,17.12245,94.42,0.86,4.03,20.71,0.89,-0.25
5515c,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5515c_aj_0.tif,0.030362310149862,,7.264255,90.62,0.48,-1.89,24.92,0.74,-0.67
5515d,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5515d_ac_2.tif,0.0102056757152421,,91.13281,87.38,-0.45,4.39,13.27,0.88,2.06
5515e,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5515e_ac_1.tif,0.049451201696524,,6.987118,93.15,-0.96,8.58,23.57,0.28,1.9
5515f,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5515f_ac_1.tif,0.0447671654341504,,8.395761,92.01,-0.93,8.19,27.13,6.28,11.92
5515g,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5515g_ac_1.tif,0.0867673657310716,,14.58381,92.59,-1.39,11.09,13.48,0.78,3.36
5515h,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5515h_ac_1.tif,0.162650660573728,,8.84311,91.76,-1.21,8.12,20.25,0.31,3.45
5515i,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5515i_aa_1.tif,0.0962303272261822,,9.741325,93.58,-1.26,10.64,19.03,0.23,4.74
5515j,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5515j_aa_2.tif,0.0414675128882829,,9.832681,93.45,-0.98,7.77,32.57,0.02,6.41
5515k,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5515k_aa_2.tif,0.0408626440999106,,9.235903,94.41,-0.72,7.56,26.65,4.25,4.42
5515l,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5515l_aa_0.tif,0.1492048670629764,,14.6247,92.86,-1.16,6.95,18.48,0.16,6.36
5515m,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5515m_ai_1.tif,0.0620632618612179,,14.08217,93.19,-1.5,9.99,19.42,0.5,8.59
5515n,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5515n_ai_0.tif,0.0443353366988201,,8.633829,91.96,-0.98,7.62,21.5,0.4,4.81
5515o,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5515o_ai_0.tif,0.0333421473267592,,6.727952,93.94,-0.82,8.13,22.73,7.06,6.64
5515p,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5515p_ai_2.tif,0.0648798300994738,,8.858631,92.05,-1.15,7.29,17.72,0.28,0.88
5515q,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5515q_ai_2.tif,0.0267722689581992,,10.0338,92.22,-0.86,3.84,42.34,-0.32,5.6
5515r,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5515r_ai_2.tif,0.1129804339400373,,13.01413,91.36,-1.27,6.55,16.46,0.34,6.12
5515s,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5515s_ap_2.tif,0.0847413224971388,,2.189526,91.39,-1.03,9.09,25.88,0.45,0.64
5515t,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5515t_ac_0.tif,0.013700836510528,,89.88341,91.86,-0.25,1.22,14.63,2.04,2.27
5515u,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5515u_ac_2.tif,0.0332905616532833,,10.45837,90.7,-0.31,2.31,27.79,0.45,-2.32
5515v,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5515v_al_1.tif,0.0097869799193725,,90.18444,90.63,-0.16,3.97,21.21,0.1,4.39
5515w,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5515w_al_0.tif,0.0443341263022352,,9.925404,91.87,-1.04,8.9,17.99,0.15,2.18
5515y,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5515y_al_2.tif,0.200011765302457,,7.7703945,87.98,1.11,8.86,24.43,0.92,1.84
5516a,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5516a_aj_0.tif,0.0140471828473778,,92.47804,91.7,0.52,-1.55,19.4,0.91,1.35
5516b,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5516b_aj_1.tif,0.0536741323632631,,18.67446,91.78,0.46,6.2,20.58,0.95,-0.16
5516c,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5516c_aj_2.tif,0.0291752323422817,,8.485572,91.82,0.41,-1.23,23.77,0.92,-0.48
5516d,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5516d_ac_1.tif,0.0104324244342054,,92.58037,91.81,-0.67,5.54,13.24,1.17,2.93
5516e,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5516e_ac_0.tif,0.0571114371427956,,8.431505,92.57,-1.05,8.73,27.42,0.18,4.14
5516f,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5516f_ac_1.tif,0.0416906814114638,,9.921905,95.27,-0.98,9.03,27.47,6.77,13.78
5516g,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5516g_ac_2.tif,0.0731533902679214,,12.9876,91.52,-1.44,12.12,19.81,0.49,5.53
5516h,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5516h_ac_2.tif,0.138109143194501,,9.265824,94.77,-1.24,9.03,19.91,0.37,3.1
5516i,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5516i_aa_2.tif,0.0814997096492432,,11.84393,93.81,-1.19,11.84,13.83,0.58,1.91
5516j,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5516j_aa_1.tif,0.0390936501346017,,10.98234,90.64,-0.99,7.76,19.07,0.38,1.87
5516k,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5516k_aa_2.tif,0.0396257576115786,,10.59902,95.58,-0.75,7.73,19.92,5.22,5.54
5516l,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5516l_aa_0.tif,0.1591177788895287,,13.92487,90.7,-1.17,7.14,15.7,0.43,5.73
5516m,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5516m_ai_1.tif,0.0622070118256741,,17.3301,93.88,-1.31,12.99,26.16,0.21,10.44
5516n,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5516n_ai_1.tif,0.0307026604235409,,10.34657,90.63,-0.97,7.34,20.7,0.31,5.29
5516o,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5516o_ai_0.tif,0.0326481196686983,,7.925494,94.8,-0.55,8.55,20.9,6.05,6.4
5516p,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5516p_ai_0.tif,0.0656930724640807,,9.403574,89.65,-1.16,7.56,16.08,0.38,2.78
5516q,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5516q_ai_1.tif,0.0268043891990556,,10.0682,93.27,-0.65,4.88,35.19,-0.14,5.65
5516r,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5516r_ai_0.tif,0.1252750307823333,,9.291998,90.39,-0.94,7.2,16.4,0.27,5.08
5516s,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5516s_ap_2.tif,0.0882024073787548,,2.517566,93.84,-0.9,9.3,26.09,0.58,0.82
5516t,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5516t_ac_2.tif,0.0141166405955728,,74.84554,93.41,-0.42,1.58,15.46,2.22,2.19
5516u,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5516u_ac_0.tif,0.0310233492371725,,9.558008,87.78,-0.26,2.01,26.0,0.48,-1.08
5516v,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5516v_al_1.tif,0.0091972064526537,,88.9339,92.08,0.03,3.99,17.27,-0.62,6.04
5516w,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5516w_al_1.tif,0.0484452936840371,,7.50974,89.87,-0.96,9.08,17.37,0.09,3.66
5516y,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box3.2_jd/5516y_al_0.tif,0.1887011450755307,,7.625194,89.07,2.08,9.6,25.54,1.04,2.15
5517a,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box4.1_jd/5517a_kp_0.tif,0.0597375315165413,,9.671988,92.86,-1.19,9.95,58.97,-0.78,5.09
5517b,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box4.1_jd/5517b_ki_1.tif,0.0407351877625174,,19.25609,93.5,-0.86,4.8,26.39,-0.31,7.04
5517c,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box4.1_jd/5517c_kk_0.tif,0.0083040056509658,,96.94228,91.53,-0.14,1.5,22.55,0.56,3.16
5517d,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box4.1_jd/5517d_kp_0.tif,0.0401385979267394,,15.36831,90.01,-1.09,10.71,23.29,0.52,5.86
5517e,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box4.1_jd/5517e_km_1.tif,0.0273423453340778,,38.58043,91.13,-0.33,2.27,21.6,0.3,4.56
5517f,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box4.1_jd/5517f_ke_1.tif,0.0658287142611971,,17.82294,92.91,-1.09,10.26,40.21,0.57,11.06
5517g,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box4.1_jd/5517g_ko_1.tif,0.0448789199021788,,12.98631,93.63,-0.75,9.75,22.52,0.75,7.57
5517h,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box4.1_jd/5517h_kp_2.tif,0.0267356945863403,,12.55072,92.02,-0.93,3.41,22.11,0.01,0.57
5517i,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box4.1_jd/5517i_km_0.tif,0.1231501342985149,,3.886197,91.18,-1.02,5.69,33.7,0.42,1.31
5517j,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box4.1_jd/5517j_ke_0.tif,0.0934112134724357,,5.947226,93.17,-0.39,10.36,21.84,0.29,4.24
5517k,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box4.1_jd/5517k_kp_0.tif,0.0914714049613422,,24.48213,93.57,-0.39,9.42,24.57,0.27,2.7
5518a,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box4.1_jd/5518a_kk_1.tif,0.0543200114203556,,12.98417,90.59,-1.08,5.18,29.21,-0.28,4.12
5518b,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box4.1_jd/5518b_ki_2.tif,0.0285904083912127,,23.64455,93.82,-0.79,4.22,21.61,0.77,4.53
5518c,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box4.1_jd/5518c_kk_1.tif,0.0084629096829827,,95.53448,91.6,-0.01,0.33,17.59,0.76,3.05
5518d,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box4.1_jd/5518d_kp_2.tif,0.0369384784971893,,16.48063,92.92,-0.91,10.26,30.41,0.61,7.99
5518e,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box4.1_jd/5518e_km_0.tif,0.0285274356935136,,44.91706,91.53,-0.6,2.37,14.96,0.64,4.83
5518f,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box4.1_jd/5518f_ke_1.tif,0.0635993584383542,,19.83076,94.37,-0.83,9.64,36.18,-0.01,8.34
5518g,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box4.1_jd/5518g_ko_0.tif,0.0503198262018159,,13.26347,94.36,-0.65,8.35,21.11,0.67,4.76
5518h,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box4.1_jd/5518h_kp_0.tif,0.0300000787948848,,14.99271,92.15,-0.56,3.83,22.68,0.02,-0.05
5518i,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box4.1_jd/5518i_km_2.tif,0.1116339077082522,,4.550397,89.61,-0.96,4.94,26.9,0.32,-0.14
5518j,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box4.1_jd/5518j_ke_1.tif,0.1143363657546839,,6.890849,94.64,-0.74,8.27,27.1,1.12,5.27
5518k,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box4.1_jd/5518k_kp_0.tif,0.0873769588466327,,26.72716,94.66,-0.81,8.95,21.15,0.15,5.51
5519a,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box4.1_jd/5519a_kp_0.tif,0.0491913679340629,,10.5225,91.72,-1.05,11.2,30.32,-0.39,3.01
5519b,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box4.1_jd/5519b_ki_1.tif,0.0364943264575974,,19.44275,93.06,-0.75,5.08,27.73,1.35,3.06
5519c,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box4.1_jd/5519c_kk_1.tif,0.0083838683306217,,95.78687,91.05,0.42,1.48,17.91,0.63,2.24
5519d,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box4.1_jd/5519d_kp_0.tif,0.0291060606834267,,17.67766,93.36,-0.79,11.35,21.07,0.37,4.92
5519e,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box4.1_jd/5519e_kp_1.tif,0.0207453355548439,,37.24681,91.01,-0.06,6.07,21.3,-0.36,2.86
5519f,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box4.1_jd/5519f_ke_2.tif,0.0646295609912289,,19.2987,93.21,-0.55,10.35,35.79,-0.34,6.39
5519g,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box4.1_jd/5519g_ko_0.tif,0.0560419111896644,,14.90634,93.22,-0.46,9.98,22.59,1.17,3.67
5519h,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box4.1_jd/5519h_kp_1.tif,0.0299734895326949,,12.95918,89.5,-0.31,6.94,19.96,0.38,0.52
5519i,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box4.1_jd/5519i_km_2.tif,0.1237614960736866,,4.728707,92.55,-0.89,8.71,30.99,0.38,1.5
5519j,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box4.1_jd/5519j_ke_0.tif,0.1115569235986033,,5.032512,91.43,-0.61,10.21,22.18,-0.09,2.31
5519k,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box4.1_jd/5519k_kp_1.tif,0.0934722611412346,,20.37229,90.84,-0.47,10.18,16.9,0.29,1.94
5520a,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box4.1_jd/5520a_kp_2.tif,0.0463393843756835,,12.40261,92.28,-1.09,8.88,56.6,-0.72,4.53
5520b,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box4.1_jd/5520b_ki_0.tif,0.0316436705777676,,22.69654,93.85,-0.63,4.32,32.42,0.52,3.6
5520c,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box4.1_jd/5520c_kk_2.tif,0.0077446294469721,,96.90269,92.61,0.2,1.0,21.58,0.67,3.22
5520d,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box4.1_jd/5520d_kp_1.tif,0.0332397835335197,,13.30762,92.48,-0.65,9.89,25.11,0.54,6.12
5520e,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box4.1_jd/5520e_kp_0.tif,0.0221754158193079,,37.85607,91.63,-0.05,3.99,22.33,-0.29,2.37
5520f,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box4.1_jd/5520f_ke_1.tif,0.0600780339817889,,22.31882,93.86,-0.62,9.23,36.82,0.08,11.41
5520g,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box4.1_jd/5520g_ko_1.tif,0.0406356389656756,,9.372008,94.19,-0.43,8.04,22.98,0.3,5.88
5520h,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box4.1_jd/5520h_kp_1.tif,0.0301933995389191,,11.41918,92.68,-0.34,4.21,21.28,0.24,0.11
5520i,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box4.1_jd/5520i_km_2.tif,0.1112920861587107,,4.721421,94.33,-0.66,6.47,31.39,0.44,1.19
5520j,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box4.1_jd/5520j_ke_0.tif,0.1213496176061821,,6.682013,94.13,-0.68,8.07,21.69,0.17,4.11
5520k,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box4.1_jd/5520k_kp_0.tif,0.093796622271703,,19.12436,94.46,-0.65,9.16,17.04,0.19,2.42
5521a,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box4.2_jd/5521a_ke_1.tif,0.0408334126367029,,12.7471,84.85,-0.91,4.32,20.65,0.35,2.74
5521aa,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box4.2_jd/5521aa_kp_2.tif,0.0116963167876249,,92.76566,88.61,-0.48,3.71,17.22,-0.3,0.97
5521b,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box4.2_jd/5521b_ke_1.tif,0.0207099206290344,,14.05611,89.21,-0.94,10.49,27.81,-0.12,5.89
5521bb,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box4.2_jd/5521bb_kp_0.tif,0.0319308590418244,,11.17822,93.2,-0.76,8.7,18.87,0.05,1.75
