,localpath,roughness
15821,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/290c_kp_0.tif,0.0286206229747789
15822,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/290c_kp_1.tif,0.0310963510023707
15823,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/290c_kp_2.tif,0.0295711555809837
15824,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/290d_kp_0.tif,0.0063340518125064
15825,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/290d_kp_1.tif,0.0065965587582884
15826,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/290d_kp_2.tif,0.0063121745441108
15827,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/290e_kp_0.tif,0.0124591561142259
15828,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/290e_kp_1.tif,0.0135080150428988
15829,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/290e_kp_2.tif,0.0120527676790625
15830,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/290f_kp_0.tif,0.0310933615405456
15831,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/290f_kp_1.tif,0.0311307895260074
15832,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/290f_kp_2.tif,0.0296832598930612
15833,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/290g_kp_0.tif,0.0126833414935664
15834,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/290g_kp_1.tif,0.0117557528453485
15835,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/290g_kp_2.tif,0.0114290318315961
15836,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/290h_kp_0.tif,0.0180052562444305
