catalog,roughness,thickness,g60,LAB_L_dmin,LAB_A_dmin,LAB_B_dmin,LAB_L_dmax,LAB_A_dmax,LAB_B_dmax
1670,5.360118681882154,0.157,47.24298,91.8,-1.08,3.07,,,
1671,3.8704674116427498,0.177,68.59086,96.35,1.15,-0.67,,,
1672,5.746997369591912,0.17,48.71099,96.37,1.41,-1.96,,,
1673,5.787382475569828,0.179,29.00323,96.45,1.1,-1.03,,,
1674,5.969588455710156,0.165,40.66837,96.25,1.09,-1.09,,,
1675,3.62972023153373,0.175,69.66219,96.07,0.83,0.62,,,
1676,5.12057376476532,0.183,50.33452,90.66,0.24,0.74,,,
1677,4.781678818301201,0.288,54.50336,91.86,0.93,6.77,,,
1678,1.9218778220016453,0.235,92.64566,94.37,-1.2,3.69,,,
1679,1.9036372641155457,0.232,96.34378,94.42,-1.27,4.09,,,
1680,2.0400678401972376,0.23,96.19006,94.54,-1.24,3.19,,,
1681,5.271046368126905,0.166,51.18485,90.23,-0.66,4.86,,,
1682,5.147965067039745,0.173,44.09348,90.94,0.01,1.25,,,
1683,4.497540496841178,0.173,48.3836,91.31,-0.18,-0.66,,,
1684,4.431070768278596,0.168,51.39568,90.65,-0.09,0.08,,,
1685,4.878776455228432,0.173,52.31334,90.49,0.12,0.08,,,
1686,4.505870124557479,0.174,21.71493,90.44,0.42,-0.42,,,
1687,5.400341479738343,0.181,42.06271,90.61,-0.16,-0.14,,,
1688,6.671210597373845,0.347,7.550863,93.65,-0.59,8.45,,,
1689,8.237835823171133,0.19,8.147381,92.79,-0.48,4.52,,,
169,25.70570735687384,,11.29215,94.82,-0.22,2.64,,,
1690,8.363892362477637,0.174,6.745016,93.26,-0.89,5.48,,,
1691,8.784595707356152,0.357,12.06201,95.01,-1.39,8.84,,,
1692,7.72447928142648,,13.9481,95.85,-1.15,7.54,,,
1693,,0.183,45.2956,91.75,-0.65,3.32,,,
1697a,3.5162384399251803,,92.97559,86.1,-0.64,6.06,14.02,0.4,2.0
1697aa,2.882034002912362,,93.68052,92.81,-0.13,2.98,15.51,1.27,4.11
1697b,9.325034849118431,,9.186872,92.58,-0.54,10.97,25.75,-0.07,1.86
1697bb,6.459254654609333,,39.20682,92.91,-0.29,4.42,24.0,0.23,2.71
1697c,10.946141083540487,,7.685916,92.9,-0.68,11.83,21.95,3.0,2.98
1697cc,22.580622343913284,,13.94627,95.08,-0.79,9.86,14.71,0.58,4.16
1697d,8.863417106507034,,13.78761,91.29,-0.32,7.09,21.88,0.3,1.04
1697dd,9.449428425002042,,16.01641,93.8,-0.92,6.63,20.03,0.55,1.93
1697e,23.19734555809612,,17.99466,94.52,-0.82,10.56,22.8,0.13,3.56
1697ee,3.2943783266734603,,92.15683,91.46,0.24,1.36,15.4,1.15,2.74
1697f,2.612567910933914,,91.53695,92.48,-0.73,5.35,13.48,0.24,3.68
1697ff,8.72517516456725,,12.91781,94.13,-0.67,10.35,18.33,0.53,2.2
1697g,6.4046966663549645,,17.27997,95.17,-0.95,10.62,23.68,0.48,7.73
1697h,7.4722764677999,,15.99098,94.24,-0.75,11.17,22.53,8.25,9.33
1697i,8.539202415113962,,8.798257,94.95,-0.44,10.23,17.3,-0.17,2.59
1697j,10.228117841669969,,23.19445,94.4,-0.78,11.85,18.99,0.21,7.88
1697k,9.073072914098978,,23.93363,94.73,-0.61,11.27,18.28,11.87,14.63
1697l,10.508105235876345,,8.186658,94.11,-0.48,10.88,20.5,0.26,2.85
1697m,19.731494059927734,,17.86801,95.24,-0.82,10.61,16.55,0.06,5.63
1697n,5.853811105932179,,17.9297,94.01,-0.6,10.52,28.66,0.44,7.89
1697o,9.898924641220772,,2.622284,94.38,-0.6,10.37,28.27,0.14,0.97
1697p,7.478104063349248,,14.01391,94.93,-0.78,9.6,19.94,0.43,5.8
1697q,8.2557325643446,,11.87468,94.76,-0.38,8.74,22.16,7.89,9.09
1697r,7.394561892261132,,17.23214,94.92,-0.55,10.48,20.01,0.42,5.91
1697s,10.0209263603295,,12.53257,92.37,0.97,19.91,23.21,0.76,7.63
1697t,9.716961472414212,,6.601226,94.59,-0.71,10.45,24.96,0.45,4.94
1697u,11.1527879045931,,1.972343,94.35,-0.43,9.86,29.45,0.02,2.88
1697v,21.44854394002813,,16.48424,95.13,-0.88,11.5,23.56,0.44,8.18
1697w,12.710993947284711,,7.274216,92.76,0.49,20.73,21.6,0.33,4.76
1697x,9.090792027742598,,14.70786,93.25,-0.61,6.74,19.4,0.7,2.62
1697y,9.317220285321254,,10.28565,94.41,-0.51,10.64,18.75,0.83,1.43
1697z,10.534124810997,,11.76797,94.48,-0.49,10.69,19.73,2.57,5.77
1699,7.830598455249716,0.357,16.11437,88.49,-0.01,10.2,,,
1701,9.054649930314763,0.178,10.77234,91.03,-1.06,5.68,,,
1702,5.569290172940352,0.324,56.83893,91.17,-0.02,5.68,,,
1703,7.862387892743193,0.345,15.26294,91.02,-0.76,11.44,,,
1704,4.3350635905476045,0.172,48.41997,92.27,0.03,2.3,,,
1705,11.837592461205126,0.205,8.348408,91.28,-1.35,6.95,,,
1706,5.007152416063514,0.165,47.43814,91.51,0.29,1.61,,,
1707,7.810868075342103,0.179,9.81758,92.72,-1.33,4.59,,,
1708,3.828945130012064,0.29,58.16129,96.14,0.92,2.02,,,
1709,6.235240972571728,0.337,8.612661,92.22,-0.61,5.47,,,
171,11.720743764271628,0.284,6.588648,94.36,-0.47,5.28,,,
1710,4.726012817829522,0.181,11.30817,92.46,-0.68,5.2,,,
1711,4.886070127489158,0.185,11.80916,92.72,-0.89,4.68,,,
1712,6.966788911103111,0.341,7.553867,91.94,-1.03,7.32,,,
1713,4.014817254032892,0.178,51.23774,90.09,-0.13,1.69,,,
1714,6.715061208905394,0.162,8.368895,91.83,-0.57,9.7,,,
1715,3.5287798774633465,,58.73771,90.94,-0.52,2.19,,,
1716,7.221501300588531,0.161,7.753541,91.96,-0.72,9.46,,,
1717,3.8198905572402753,0.16,47.44771,91.89,-1.14,4.26,,,
1718,6.71136573406208,0.17,32.48322,91.7,-0.7,1.76,,,
1719,3.896712709706852,0.155,50.509,91.8,-1.09,3.76,,,
172,3.92231219592616,0.171,70.40618,96.13,0.62,0.44,,,
1720,3.7182384145771694,0.161,52.22877,91.4,-0.95,4.74,,,
1721,6.285370816946836,0.161,35.46974,92.16,-0.85,2.02,,,
1722,6.572556820688836,0.161,36.0313,91.96,-0.61,1.88,,,
1723,6.545065151995599,0.158,34.33837,91.89,-1.18,1.62,,,
1724,6.941086107717013,0.166,40.19308,93.39,-0.11,-0.38,,,
1725,7.0328532734216544,0.168,39.12867,92.78,0.18,-0.16,,,
1726,6.829047173272377,0.168,40.53102,93.53,-0.12,-0.37,,,
1729,21.67388828568721,0.09,4.334162,70.53,3.8,18.21,,,
173,19.11470268308525,0.281,14.43244,94.97,-0.15,2.01,,,
1730,1.6903594731511415,0.242,98.43109,95.17,0.35,4.07,,,
1731,6.4188114013079,0.187,13.383,93.82,-0.76,3.33,,,
1732,4.539460608979285,0.162,42.6615,94.16,-0.93,3.21,,,
1733,7.279162049214339,0.346,5.866848,95.25,-0.81,4.4,,,
1734,2.065611806154684,0.23,93.05525,93.57,-0.41,-0.08,,,
1736,5.013634573780474,0.17,53.37609,92.95,-0.19,1.3,,,
1737,20.98229924505457,0.328,16.97949,95.36,-1.04,5.73,,,
1738,19.60828900717976,0.278,15.81563,93.32,0.46,6.15,,,
1739,3.746489858516037,0.274,51.72887,95.57,0.85,2.98,,,
174,8.788603679900675,0.276,9.981293,94.09,-0.76,6.25,,,
1740,14.599530351954918,0.058,6.216944,93.97,-1.08,6.05,,,
1741,1.8444009440942808,0.228,87.72791,93.57,0.47,4.94,,,
1742,5.649494077376208,0.276,58.40465,95.41,0.72,2.59,,,
1743,6.097479791030239,0.146,50.44218,86.72,-0.66,13.95,,,
1744,16.06177494518761,0.147,10.88515,90.0,-1.11,7.13,,,
1745,8.240050748556142,0.19,12.63607,84.39,-0.25,13.14,,,
1746,8.349675000742872,0.294,21.17911,87.21,-1.16,13.21,,,
1747,15.100202171680486,0.163,3.058709,84.86,-1.05,15.44,,,
1748,16.749578850639452,0.312,12.83871,92.25,-1.34,14.85,,,
1749,6.647166743925213,0.172,35.2812,91.77,0.13,3.56,,,
175,3.811634102530787,0.171,68.697925,95.26,0.94,0.31,,,
1751,5.194833260794635,0.169,44.3531,93.36,-0.48,3.66,,,
1752,13.882965857992506,0.135,9.407233,89.03,-0.98,3.84,,,
1754,15.438673401805508,0.121,8.502677,89.99,-1.23,4.8,,,
1755,15.625692406359262,0.124,8.660738,90.53,-1.1,4.78,,,
1756a,1.9429492708459328,0.224,86.92502,92.73,0.16,0.54,10.76,0.56,1.45
1756b,13.693649940712506,0.127,10.80832,92.49,-1.18,9.77,19.77,0.3,1.28
1756c,9.683614781232729,0.362,24.00266,94.25,-1.09,7.15,16.06,0.31,6.17
1756d,9.616440187827472,0.347,15.25115,93.1,-1.09,7.36,22.01,0.29,6.89
1756e,5.309828763155725,0.315,41.33826,91.89,-0.85,3.69,12.55,0.59,2.88
1756f,5.881635549161139,0.347,40.46597,94.3,-1.2,7.19,34.62,0.14,9.08
1756g,9.483923140184082,0.333,2.981661,91.79,-1.15,8.38,31.34,0.15,4.32
1756h,7.650910329284404,0.165,14.51869,92.44,-0.82,6.02,41.49,-0.19,1.37
1756i,29.280065034453905,0.197,4.440202,93.4,-0.7,7.39,37.91,-0.38,2.18
1756j,13.788320677008096,0.366,5.742813,93.83,-0.86,9.49,22.01,0.43,4.8
1756k,16.803919213238736,0.322,16.27331,93.41,-1.04,7.3,16.9,0.4,8.09
1757,4.695964733837733,0.17,56.08512,92.26,0.25,-0.47,,,
1758,7.235805813956825,0.344,15.6463,93.64,-0.83,3.46,,,
1759,4.492025427388734,0.159,62.69733,92.02,0.29,-1.14,,,
1760,5.184264673520947,0.163,56.31235,92.0,0.25,-0.38,,,
1761,5.854580838713206,0.351,7.700634,93.84,-1.03,4.91,,,
1762,2.211965004953503,0.206,91.04672,88.19,2.15,6.44,,,
1763,8.683147772520199,0.235,33.26029,95.12,-0.82,4.43,,,
1764,1.8304910042401925,0.239,96.64854,95.11,-0.97,4.91,,,
1765,2.2892643880375823,0.212,66.21352,87.83,2.03,5.79,,,
1766,2.209118362069795,0.247,4.596033,91.58,2.2,2.71,,,
1767,6.585209956552138,0.247,23.27654,91.72,2.53,1.48,,,
1768,1.7651333053147926,0.249,98.50704,95.43,2.15,-0.79,,,
1769,1.8340422336789224,0.247,95.83151,94.17,0.56,4.63,,,
177,3.77796861157837,0.168,63.92036,96.88,-1.11,3.69,,,
1770,1.812863532308295,0.246,97.38415,94.67,0.52,4.32,,,
1771,1.7715337016652062,0.229,72.48512,94.22,2.03,-2.95,,,
1781,11.943967623513748,0.186,8.609083,91.49,-1.13,5.44,,,
1782,4.687617158980478,0.164,63.08792,91.71,2.25,18.41,,,
1784,18.9133682911106,0.279,15.9785,95.06,0.7,3.01,,,
1785,3.5611681210857307,0.267,67.07146,93.16,1.4,1.46,,,
1786,19.60815718699557,0.147,14.30842,48.92,7.83,21.51,,,
1787,8.857268952473522,0.152,7.523732,89.33,-1.84,7.27,,,
1788,5.049339125293268,0.168,43.04935,87.74,-0.6,9.37,,,
1789,4.319123093552189,0.168,61.1995,91.89,-0.03,-2.04,,,
179,4.733163603229948,0.154,42.08232,92.28,-0.23,4.52,,,
1791,18.07582737058472,0.261,12.39365,93.15,-0.02,5.69,,,
1792,9.437413778984231,0.35,9.985336,94.08,-1.24,5.18,,,
1793,6.256239241645911,0.175,44.67496,,,,,,
1794,4.999877244635858,0.355,14.48532,94.01,-1.14,7.53,,,
1795,10.030815610903716,,10.14972,95.41,-0.9,9.03,,,
1797,5.619749426021587,0.1845,53.98972,,,,,,
1798,5.973243157591408,0.178,51.09813,90.99,-0.99,2.72,,,
1799,5.905492133262898,0.17,42.80948,91.73,-0.64,2.56,,,
17a,4.383535831866075,0.173,77.81126,95.01,1.03,1.25,10.84,0.53,0.59
17b,10.338100360962994,0.191,22.74753,94.04,0.84,5.87,12.23,0.51,0.65
17c,4.700600969965688,0.16,85.10972,92.86,2.48,12.1,6.42,0.8,2.2
17d,11.41474302760172,0.186,21.08741,92.45,2.34,12.76,10.11,0.54,2.33
17e,8.003316080489745,0.295,8.215443,94.07,0.63,6.01,22.78,0.11,1.02
17f,11.287767405768369,0.299,2.62918,94.26,0.88,5.81,27.71,0.2,0.18
17g,19.092267568629545,0.282,26.47246,94.27,0.99,4.91,11.17,0.48,1.18
17h,9.252078816802385,0.266,35.51181,94.14,1.18,5.01,12.21,0.41,0.7
17i,4.924835704648831,0.17,77.77373,94.36,0.75,3.42,8.74,0.8,2.06
17j,8.213771608036405,0.3,4.976002,94.36,0.81,5.32,21.34,0.4,0.75
17k,16.642223155328892,0.277,3.957932,93.51,0.58,7.37,22.69,0.29,-0.36
17l,9.534759476209882,0.265,33.31743,93.74,1.19,5.69,6.77,1.03,0.44
17m,4.2558833160424765,0.28,90.55527,93.49,0.65,7.45,5.68,0.28,0.94
17n,7.318899107708584,0.298,4.947713,94.11,-0.31,7.77,24.17,0.19,2.8
17o,7.974265045547134,0.299,1.06094,94.28,-0.32,8.69,25.95,0.25,-0.73
17p,14.505765732151804,0.276,4.568641,93.96,-0.03,9.34,24.71,0.15,2.57
17q,14.810370891458032,0.271,4.258054,92.61,1.06,13.4,22.87,0.23,0.34
18,4.545388921719467,0.164,55.16263,92.85,-0.45,-0.46,,,
180,4.88066129563586,0.169,49.82726,93.85,-0.24,2.75,,,
1800,4.852264186779468,0.185,48.46673,90.92,0.16,-0.84,,,
1802,6.440598924364997,0.171,8.583584,92.49,-0.4,9.77,,,
1803,4.427374987975564,0.166,8.58795,92.33,-0.59,9.78,,,
1804,6.295594580636832,0.341,13.77574,91.62,-0.65,8.39,,,
1805,7.071122319381176,0.334,7.724702,90.95,-1.08,7.72,,,
1806,5.6745027753089445,0.347,20.94227,91.16,-0.8,7.28,,,
1807,3.929275322042984,0.173,57.57758,89.73,0.41,5.06,,,
1808,4.047752542390041,0.176,53.85524,88.88,-0.1,6.46,,,
1809,7.325186993982249,0.159,7.708393,90.67,-0.64,10.1,,,
181,4.589199811342276,0.327,44.41263,96.08,0.43,0.11,,,
1810,6.883157260438227,0.167,7.240327,92.77,-0.91,4.95,,,
1811,7.365373204518594,0.239,31.40581,95.72,-0.2,0.52,,,
1812,1.916592655297508,0.23,90.01215,92.29,0.5,0.65,,,
1813,10.739289058909865,0.285,19.06599,95.37,0.43,0.92,,,
1814,3.2359199982884026,0.225,42.71357,92.82,0.4,0.62,,,
1815,11.824886274036649,,12.55962,92.69,-0.35,7.12,,,
1816,12.8865687935433,,10.16766,93.25,-0.86,9.87,,,
1817,6.07106898514066,0.283,12.4414,91.96,0.33,5.1,,,
1818,11.57661742829469,0.261,7.001917,,,,,,
1819,4.2635252298689945,,41.35481,90.66,-0.34,2.73,,,
182,8.495264632703922,0.36,10.36735,95.09,-0.82,7.81,,,
1820,6.602950470004362,0.305,9.340692,90.85,0.13,8.34,,,
1821,13.425384111196797,,10.19987,91.85,-1.32,7.17,,,
1822,8.063498007775909,0.167,20.78948,67.16,1.55,7.14,,,
1823,3.513669024876803,0.163,44.31149,89.63,0.77,2.69,,,
1824,3.5237518390200684,0.165,39.45487,90.3,0.51,1.94,,,
1825,3.452159576593294,0.166,41.90276,89.52,0.74,2.22,,,
1826,6.657403211443996,,3.614281,91.45,-0.35,0.37,,,
1827,3.474591687813004,0.173,65.60801,89.78,-1.79,3.32,,,
1828,8.110912217037491,0.352,11.53986,92.98,-0.95,1.48,,,
1829,2.5762581322874074,0.269,80.86845,93.8,1.12,0.42,,,
183,4.886345367631137,0.272,93.60771,30.34,16.2,35.58,,,
1830,7.057754125161415,0.244,32.34354,95.59,-0.15,1.05,,,
1831,4.62733410578358,0.182,63.38977,92.98,0.15,0.02,,,
1832,5.402234557068903,0.184,66.58689,90.46,-0.18,1.84,,,
1834,7.697510685291717,0.338,10.49029,94.04,-0.86,10.47,,,
1835,7.313736438237047,0.167,10.43515,93.16,-0.46,5.23,,,
1837,3.107458433977247,0.227,41.56118,93.16,-0.55,1.22,,,
1838,14.092257173882489,0.265,17.51313,91.84,0.24,5.85,,,
1839,8.550358251939445,0.155,18.309,88.11,-0.57,11.73,,,
184,4.602240833231527,0.236,49.79898,89.88,-0.43,9.79,,,
1840,8.024059571452034,0.325,17.41372,88.12,-1.44,9.89,,,
1841,4.037567342389571,0.236,29.76538,94.38,-0.56,1.08,,,
1842,3.975149819599478,0.233,28.92793,94.09,-0.74,1.66,,,
1843,5.73295840187466,0.284,9.627254,96.6,0.22,0.9,,,
1844,5.879268423632142,0.244,31.35339,94.58,1.82,-4.92,,,
1845,3.527286851179295,0.342,64.22955,96.89,0.86,-1.76,,,
1846,3.4758277618774684,0.357,65.46887,96.94,1.1,-2.13,,,
1847,1.696906654853685,0.234,29.45356,95.19,-0.21,0.79,,,
1848,1.7788414957286716,0.226,69.564,95.23,0.1,1.08,,,
1849,1.6776654692423167,0.241,95.90496,95.53,-0.19,0.32,,,
185,6.347014539833851,0.159,37.96004,94.24,-0.73,4.26,,,
1850,5.554104828001256,0.17,44.88769,92.4,-0.06,0.15,,,
1851,6.849063400888602,0.366,9.329598,95.5,-0.84,8.35,,,
1852,7.590342370699367,0.377,9.401214,94.87,-0.7,8.25,,,
1853,5.337127132733859,0.167,46.22551,91.45,-0.11,0.14,,,
1854,5.964953876584715,0.166,49.57951,90.38,0.03,-0.29,,,
1855,7.104667273782291,0.172,37.61074,91.2,-0.16,-1.39,,,
1856,7.214620494560851,0.1815,32.045325,90.38,0.16,-0.76,,,
1857,6.543368497967053,0.165,49.12181,90.82,0.07,-1.23,,,
1858,8.551523859519962,0.183,40.14983,90.03,-0.26,1.08,,,
1859,23.39650817302488,0.373,6.130733,96.67,-1.0,9.31,,,
186,10.535097855430417,0.267,56.62791,30.08,14.54,33.13,,,
1860a,14.932364681329886,0.38,7.425429,96.6,-1.08,8.17,,,
1860b,13.204543247876693,0.296,23.47063,94.7,-0.71,2.8,,,
1860c,2.118368519519809,0.243,97.28526,92.6,1.6,1.01,,,
1860d,12.910726509400035,0.231,4.517986,91.65,2.42,3.42,,,
1860e,52.63294098253679,0.262,29.25732,74.08,-0.3,-0.34,,,
1860f,7.423009198787247,0.25,7.025759,,,,,,
1860g,8.3762569372868,0.244,12.35495,90.55,0.54,21.95,,,
1861,3.893901879368065,0.296,7.13126,96.82,0.23,0.97,,,
1862,4.65980173659593,0.302,63.66716,90.89,-0.42,6.52,,,
1863,4.894492208718753,0.176,56.55358,92.15,0.2,-2.22,,,
1864,6.905790340022654,0.18,43.51791,90.88,-0.21,-1.18,,,
1865,5.463464819520364,0.182,52.0285,90.99,-0.4,-0.71,,,
1866,6.708485926928564,0.171,49.24048,90.97,-0.12,-1.15,,,
1867,5.411164430170214,0.181,45.94899,91.44,0.06,0.13,,,
1868,4.739129195143877,0.17,52.37109,91.42,0.2,-2.45,,,
1869,4.271004391986288,0.161,56.73385,91.63,-0.13,-0.08,,,
187,7.120567015523012,0.17,7.338163,94.19,-0.67,5.36,,,
1870,4.357065018129599,0.174,60.82877,92.17,0.04,-1.87,,,
1871,4.565363520097072,0.171,60.4544,92.15,0.28,-1.62,,,
1872,7.578808477290162,0.373,8.982765,94.25,-0.68,9.12,,,
1873,4.360475614198552,0.296,6.915525,91.97,1.38,5.55,,,
1874,4.17924069851187,0.293,6.749422,96.66,0.22,1.05,,,
1875,6.855403495794664,0.241,28.81886,93.72,1.89,-3.85,,,
1876,51.43385896056083,0.207,96.1254,,,,,,
1877,6.890922044783178,0.241,15.52308,94.11,2.05,-3.88,,,
1878,62.41827275684569,0.233,19.95741,66.75,-0.69,-0.99,,,
1879a,3.969876960670856,0.184,92.72072,86.99,-1.42,7.15,13.79,0.57,2.17
1879b,3.437209867830534,0.33,91.9492,91.64,-1.31,8.7,13.39,0.38,2.95
1879c,9.339089375633604,0.186,11.06779,91.05,-1.05,5.77,28.29,0.24,0.47
1879d,9.058249142706677,0.183,11.23938,91.06,-0.99,5.92,24.02,0.48,0.69
1879e,7.42007032770419,0.314,9.831049,91.55,-1.11,8.15,26.47,0.42,1.5
1879f,9.043330890317058,0.336,13.37912,92.56,-0.93,11.05,17.52,0.73,1.29
1879g,3.8006872957788937,0.177,91.25573,91.04,-1.46,6.44,20.55,-0.4,-1.89
1879h,2.9713951483628387,0.331,92.50116,92.53,-1.29,7.31,11.93,0.09,0.34
1879i,7.814484383795188,0.338,10.72113,88.99,-1.28,10.07,25.75,0.08,-0.47
1879j,3.876084426179841,0.187,94.52661,90.05,-1.47,7.89,13.29,0.71,3.43
1879k,11.346007379507023,0.313,10.49908,91.45,-1.08,13.39,16.44,0.48,3.58
1879l,18.06296090785148,0.347,14.91958,89.12,-0.53,14.52,13.5,0.36,2.91
1879m,10.866528590014822,0.331,5.63259,91.46,-1.0,12.19,28.82,0.33,3.09
1879n,10.84602032988226,0.358,17.69372,93.11,-1.2,12.27,14.23,0.32,-1.33
1879o,11.453109898963593,0.304,10.54781,89.46,0.87,21.23,19.15,0.68,5.3
1879p,15.574964248896968,0.399,7.25567,91.77,-0.65,13.1,22.72,0.22,-3.89
1879q,24.99970706747974,0.211,2.756817,90.85,-1.18,13.15,29.09,0.15,0.74
1879r,15.241421872942713,0.153,6.809779,91.43,-0.43,11.76,22.68,1.0,1.99
1879s,14.196113116207693,0.292,9.112319,89.41,0.72,20.44,21.9,9.83,11.52
1879t,11.35352434972788,0.311,5.313546,90.83,-0.34,14.58,23.07,5.63,5.12
1879u,10.66753582059107,0.311,6.923069,89.9,-0.71,17.31,20.26,3.81,6.33
188,5.003229265448015,0.159,56.3823,92.93,-0.21,1.6,,,
1880a,11.339117117108854,0.15,7.577053,82.0,-0.46,16.92,30.5,0.35,-4.11
1880c,,0.16,3.638259,83.87,-0.21,14.92,,,
1880f,,0.1,2.78205,76.05,0.85,17.03,,,
1880g,9.104583413443011,0.11,2.156435,,,,39.17,0.09,3.11
1880h,12.367353778532545,0.13,10.90079,77.97,0.55,18.93,,,
1880i,12.258189108748414,0.11,11.01288,80.53,0.62,20.0,23.58,0.33,1.4
1880j,,0.13,8.845253,69.51,0.14,15.6,31.54,0.22,3.08
1880k,,0.14,10.81101,79.6,0.94,19.52,,,
1880l,,0.1,10.06417,75.64,0.15,17.57,31.01,0.02,2.19
1880m,,0.16,11.29761,81.5,0.2,14.99,20.21,0.55,1.81
1880n,,0.16,7.118436,74.11,0.99,19.1,24.49,0.91,3.14
1880o,,0.16,8.207575,75.49,0.56,17.82,24.54,0.26,2.16
1880p,10.622824119738992,0.16,10.02998,80.54,-0.04,17.41,25.25,0.54,5.36
1880q,4.729046053719244,0.12,87.20573,85.95,-0.81,12.86,20.04,0.45,3.71
1880r,,0.15,3.110807,80.42,-0.51,12.13,30.5,0.43,-0.14
1880s,12.18839388544745,0.12,8.722785,77.82,0.78,18.97,25.38,0.6,3.03
1880u,,0.11,7.074317,80.11,0.12,17.39,21.79,0.6,1.27
1880v,,0.13,2.24447,80.2,-0.15,17.69,33.47,0.33,0.76
1880w,,0.15,1.864869,82.12,-0.18,17.67,34.39,0.96,2.38
1880x,,0.11,1.858259,82.55,-0.29,16.46,,,
1880y,,0.14,2.08489,79.5,0.53,19.55,,,
1882a,6.195647063399601,0.304,1.555175,84.01,-0.79,9.52,33.38,0.26,-3.53
1882b,10.178881130691437,0.36,1.621632,89.63,0.19,6.99,28.7,0.31,0.6
1882c,5.578218406422902,0.299,5.214908,86.71,-0.85,9.93,27.83,0.23,1.15
1882d,5.207906048687357,0.287,1.443017,90.22,0.96,16.78,33.69,0.22,1.59
1882e,5.615483036788016,0.322,4.143158,88.17,1.85,18.56,27.63,0.32,1.71
1882f,3.069074914181232,0.309,93.30441,88.29,0.04,3.92,16.77,0.14,1.37
1882g,5.8241407510646885,0.307,12.59701,86.51,-0.67,9.71,20.75,0.46,3.13
1882h,4.843057491172783,0.286,10.92497,88.82,1.58,18.36,25.53,0.49,5.47
1882i,21.48112597774787,0.31,0.4435001,88.09,2.36,17.29,27.64,0.48,4.61
1882j,16.999092582684256,0.346,5.306016,90.1,-1.54,12.66,23.28,0.47,0.61
1882k,15.978671393021694,0.339,6.249316,88.47,-0.11,20.21,26.2,0.76,1.05
1882l,12.026934912538888,0.318,8.816546,89.89,-1.0,10.7,25.73,0.05,4.33
1882m,12.223817654798395,0.303,4.579478,90.47,-0.06,19.57,30.64,0.21,-3.09
1882n,13.11645115603749,0.311,14.90492,89.27,-0.61,9.58,18.21,0.48,2.47
1882o,15.824231220896932,0.304,2.630566,87.86,0.02,11.14,30.94,0.38,1.42
1882p,15.970579439533754,0.286,3.709874,86.55,2.68,19.23,27.22,0.48,3.78
1882q,10.938627023994645,0.385,2.231035,88.62,-1.24,16.81,29.0,0.46,0.67
1882r,10.808058610006348,0.363,2.800445,87.92,0.17,22.06,31.18,0.4,1.91
1882s,32.10651152290869,0.481,0.7068604,84.17,1.5,20.47,19.5,0.44,0.57
189,3.846276124076809,0.164,53.18965,94.49,-0.42,-0.31,,,
190,8.723302772722821,0.371,7.803193,94.73,-1.09,9.63,,,
191,5.330975222865941,0.173,47.20105,,,,,,
192,5.938227343923174,0.332,45.32641,92.46,-0.13,3.99,,,
193,24.622156123352344,0.258,3.66624,90.64,-0.6,14.52,,,
1941,8.409155307708083,0.328,10.68907,90.32,-1.18,8.85,,,
1942a,19.806926227674243,,84.64171,93.16,0.56,-0.06,32.25,-0.01,-0.21
1942b,8.25856843462736,,22.00516,93.9,2.43,0.21,34.85,0.52,0.29
1942c,2.6501139547745565,,89.97272,92.82,2.07,12.39,18.12,0.73,7.66
1942d,7.816397185637387,,35.56692,92.51,1.59,12.74,30.4,0.37,8.48
1942e,5.606961333848577,,10.10762,90.37,1.29,1.63,22.87,0.28,0.43
1942f,6.089587187427535,,2.279087,88.3,0.85,7.92,32.67,0.41,-0.39
1942g,9.70597336344729,,30.07775,94.4,1.41,2.66,42.38,0.26,1.97
1942h,8.755234027805388,,8.598507,90.58,3.47,13.37,24.14,0.75,5.29
1942i,5.399506173585144,,4.817199,90.16,1.16,12.73,24.98,0.5,2.9
1942j,2.367488946008926,,90.40567,94.87,1.54,0.97,23.07,0.58,3.17
1942k,5.908808241878219,,6.401437,93.32,0.04,6.05,22.15,0.34,3.6
1942l,3.6454172818440767,,87.06156,93.49,1.89,4.4,14.39,0.59,5.51
1942m,5.381284747258269,,9.104925,92.48,1.22,6.28,43.76,0.57,7.31
1942n,10.523885138175345,,1.135793,90.82,-0.46,11.09,32.61,-0.03,1.54
1942o,13.370439828956023,,9.627921,93.66,-0.19,6.56,53.67,-0.19,5.04
1942p,6.100525510521148,,10.0841,91.75,2.3,14.38,20.96,0.51,0.67
1942q,13.263138520619089,,7.884038,91.56,2.24,13.39,22.43,0.33,5.86
1942r,15.719848006740422,,9.495138,92.25,0.87,12.12,29.13,0.06,8.98
1943,13.499763228345111,0.355,8.303192,93.56,-1.59,7.83,,,
1944,4.177137475582867,0.172,29.4181,92.41,-1.71,5.32,,,
1945,4.23292505658161,0.175,47.64508,90.75,0.0,-0.82,,,
1946,4.36225727187193,0.174,51.94914,90.98,0.22,-0.27,,,
1947,5.384572063115199,0.17,50.18974,93.3,-1.54,5.89,,,
1948,5.396739281511102,0.182,11.28315,93.24,-0.66,4.47,,,
1949,4.931632517733795,0.175,11.42608,92.82,-0.28,3.21,,,
1950,3.861138152302118,0.172,55.55106,92.16,0.51,0.88,,,
1951,5.614030713848539,0.17,15.77723,92.47,-0.59,4.92,,,
1952,12.424557669830284,0.368,10.5126,91.14,0.95,24.92,,,
