catalog,roughness,thickness,g60,LAB_L_dmin,LAB_A_dmin,LAB_B_dmin,LAB_L_dmax,LAB_A_dmax,LAB_B_dmax
1408,1.9261707413025924,0.242,95.76772,95.28,-1.13,4.07,,,
1409,5.430291900460926,0.155,41.02711,94.89,-1.05,3.61,,,
141,4.692587806813397,0.16,50.6839,92.62,-0.66,0.63,,,
1410,5.796078285230947,0.174,25.31988,92.95,-0.34,5.6,,,
1411,7.471239556177939,0.258,41.22083,95.49,0.75,1.69,,,
1412,7.117985425763409,0.255,37.06482,95.41,1.13,2.27,,,
1413,2.5469193109201145,0.226,32.36362,93.78,1.16,-3.84,,,
1414,6.78711269953763,0.26,44.3326,95.42,0.63,2.24,,,
1415,8.685807022869637,0.255,33.91756,95.39,0.68,1.75,,,
1416,6.689691528312524,0.256,42.71313,95.59,0.85,2.87,,,
1417,6.4838597717150686,,8.564925,94.82,-1.33,6.16,,,
1418,5.238146697828788,0.167,42.76546,93.43,-0.91,5.41,,,
1419,15.83447203849236,0.266,9.862474,89.8,0.16,14.68,,,
142,4.012035778503297,0.175,63.03162,91.15,-0.09,0.97,,,
1420,5.638338514746295,0.329,9.840034,94.41,-1.0,5.15,,,
1422,11.977180731444278,0.266,6.821753,94.46,-0.83,7.97,,,
1423,5.65381686631389,0.188,9.371634,90.01,-0.43,2.75,,,
1424,2.815041769326484,0.205,94.26584,49.06,18.07,51.97,,,
1425,5.698857545924346,0.1735,47.13378,,,,,,
1426,5.445126411698944,,9.882336,94.14,-1.18,5.47,,,
1427,6.287570644961144,,9.010428,90.53,-0.27,1.51,,,
1428,6.733407273338117,,8.920992,93.24,-1.27,6.1,,,
1429,4.008119692168189,0.268,60.07394,93.88,0.15,8.35,,,
143,4.844803676571971,0.169,35.48994,90.11,0.16,0.86,,,
1430,9.0947415349724,0.372,9.398828,95.08,-0.56,9.18,,,
1431,20.974776763098166,0.272,6.3482,93.58,0.38,5.66,,,
1432,16.547691984795495,0.26,6.988413,92.92,0.76,6.73,,,
1433,5.318321611005672,,9.173555,94.1,-1.29,6.28,,,
1434,5.99608230277324,,8.856596,90.62,-0.15,1.17,,,
1435,5.786527850919682,,8.223717,90.37,-0.62,2.16,,,
1436,5.852507148029139,,9.966036,90.8,-0.35,1.51,,,
1437,21.341408719967102,0.265,4.399528,93.52,-1.2,6.36,,,
1439,6.594981443177006,0.314,21.38784,94.66,-0.78,3.64,,,
144,4.807272886126429,0.257,34.04958,89.86,-1.47,10.62,,,
1440,5.542236643773685,,8.675304,90.64,-0.92,0.95,,,
1441,5.588931983636512,,8.910309,94.69,-1.51,6.16,,,
1442,7.9023435885858335,0.336,10.62615,90.74,1.01,20.16,,,
1443,12.405152226355694,,8.539044,85.99,-1.14,8.87,,,
1444,5.8970558798745225,0.261,58.17249,92.0,-1.49,4.75,,,
1445,4.501114114487922,0.158,48.71432,92.15,-0.04,2.74,,,
1446,13.136089643931331,0.156,7.710085,89.58,-1.15,7.92,,,
1447,11.481341298423557,0.149,12.74553,85.09,-1.19,9.85,,,
1448,14.030724593451486,0.148,9.835836,86.33,-1.28,9.88,,,
