localpath,roughness
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1746_ac_0.tif,0.029820035202463218
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1746_ac_1.tif,0.03217836923770432
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1746_ac_2.tif,0.035026165880750075
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1747_ac_0.tif,0.04593458754770986
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1747_ac_1.tif,0.04590160734315686
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1747_ac_2.tif,0.06210204809192241
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1786_kv_0.tif,0.08073978541273469
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1786_kv_1.tif,0.07948122065596878
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1786_kv_2.tif,0.08694899599482181
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1787_kv_0.tif,0.03880412312871798
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1787_kv_1.tif,0.03837185717519088
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1787_kv_2.tif,0.0372388648676597
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1788_bb_0.tif,0.019442045436930837
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1788_bb_1.tif,0.02132200141975315
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1788_bb_2.tif,0.020162964152935843
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1822_cp_0.tif,0.03259996253784857
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1822_cp_1.tif,0.03112997956355571
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1822_cp_2.tif,0.03050900188524665
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1839_kv_0.tif,0.03826909881894376
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1839_kv_1.tif,0.036074125770812794
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1839_kv_2.tif,0.04111149380010062
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1981_ka_0.tif,0.027341264440800647
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1981_ka_1.tif,0.029493521759812062
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1981_ka_2.tif,0.028012095359588943
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1982_ks_0.tif,0.04038298318658498
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1982_ks_1.tif,0.042253773558477606
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1982_ks_2.tif,0.04100296852239686
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1983_ka_0.tif,0.042361518758680695
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1983_ka_1.tif,0.04153815766927672
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1983_ka_2.tif,0.04592365301489386
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1985_ka_0.tif,0.03617407734323677
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1985_ka_1.tif,0.03338707196350308
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1985_ka_2.tif,0.033257872339937586
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1986_ab_0.tif,0.08080296858117464
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1986_ab_1.tif,0.07103434466343078
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1986_ab_2.tif,0.06977427981819226
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1989_kp_0.tif,0.017452574331420615
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1989_kp_1.tif,0.01688340343208884
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1989_kp_2.tif,0.020969880632443833
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2006_kc_0.tif,0.03147527570403222
