catalog,thickness
5408k,0.21
5408l,0.32
4785a,0.18
4785b,0.298
4785c,0.179
4785d,0.321
4785e,0.16
4785f,0.178
4785g,0.163
4785h,0.316
4785i,0.164
4785j,0.153
4785k,0.197
4785l,0.162
5470a,0.31
5470b,0.29
5470c,0.35
5470d,0.41
5470e,0.48
5470f,0.35
5470g,0.4
5470h,0.49
2079a,0.173
2079b,0.283
2079c,0.282
2079d,0.268
2079e,0.175
2079f,0.254
2079g,0.291
2079h,0.29
2079i,0.373
2079j,0.273
2640a,0.176
2640b,0.173
2640c,0.191
2640d,0.174
2640e,0.191
2640f,0.28
2640g,0.297
2640h,0.282
2640i,0.261
2640j,0.281
2640k,0.291
2640l,0.265
2640m,0.254
2640n,0.28
2640o,0.265
2640p,0.277
2640q,0.357
2640r,0.278
2640s,0.297
2640t,0.272
2050,0.167
4169,0.331
4178,0.179
4187,0.348
1703,0.345
5156,0.162
1744,0.147
3008,0.359
2593,0.168
2978,0.173
1461,0.182
3093,0.189
3094,0.338
1702,0.324
1699,0.357
1990,0.182
1399,0.182
1474,0.178
1704,0.172
4160,0.182
4196,0.194
4179,0.184
4274,0.181
4195,0.305
4998,0.319
1954,0.333
1956,0.193
2257,0.185
2260,0.182
1405,0.169
2305,0.177
2360,0.188
1506,0.257
1507,0.268
1508,0.261
1509,0.262
1402,0.306
1558,0.164
4171,0.339
4172,0.353
4177,0.168
4181,0.349
4186,0.348
1523,0.343
1437,0.265
4914,0.351
2258,0.179
1524,0.364
4916,0.17
942,0.326
3004,0.341
1476,0.175
3001,0.17
3002,0.17
1407,0.353
102,0.184
4929a,0.1
4929b,0.13
4929c,0.18
4929d,0.14
4929e,0.22
4929f,0.28
4929g,0.25
4929h,0.22
4929i,0.17
948a,0.318
948b,0.28
948c,0.287
948d,0.271
948e,0.34
948f,0.168
948g,0.171
948h,0.286
948i,0.172
5471a,0.278
5471b,0.315
5471c,0.165
5471d,0.188
5471e,0.154
5471f,0.275
5471g,0.192
5471h,0.308
5471i,0.171
2073a,0.178
2073b,0.289
2073c,0.309
2073d,0.294
2073e,0.305
2073f,0.257
2073g,0.278
2073h,0.28
2073i,0.301
2073j,0.166
2073k,0.291
2073l,0.305
2073m,0.195
2073n,0.295
2073o,0.18
2073p,0.276
2073q,0.282
2073r,0.163
2073s,0.288
2073t,0.085
2073u,0.169
2073v,0.162
2073w,0.102
2073x,0.111
2073y,0.111
2073z,0.106
2073aa,0.065
2073bb,0.335
2073cc,0.186
4979,0.174
115,0.176
151,0.168
155,0.18
156,0.177
258,0.169
272,0.172
2159,0.166
2160,0.175
2180,0.273
86,0.169
196,0.275
173,0.281
257,0.268
2365,0.274
4836,0.165
171,0.284
174,0.276
4202,0.16
221,0.151
332,0.268
4994,0.182
4808,0.142
4208,0.316
4964,0.253
4965,0.282
4966,0.282
4967,0.276
4968,0.251
4969,0.249
4970,0.288
4975,0.146
4976,0.15
4984,0.15
4985,0.14
4218,0.184
4247,0.186
4248,0.186
4222,0.192
190,0.371
1498,0.366
192,0.332
5190,0.27
5184,0.259
2917,0.174
264,0.173
917,0.168
2409,0.327
2411,0.336
2339,0.338
959,0.173
2759,0.178
4296,0.163
4297,0.176
2094,0.307
2353,0.293
2352,0.175
5134,0.158
5135,0.157
4991,0.169
4986,0.266
4987,0.261
4988,0.261
4989,0.258
2994,0.171
5174,0.347
227,0.343
139,0.168
147,0.182
148,0.169
329,0.16
2155,0.3555
224,0.335
5171,0.186
193,0.258
3052,0.355
278,0.18
49,0.158
50,0.161
2425,0.179
2426,0.179
963,0.333
211,0.17
4139,0.17
1670,0.157
255,0.362
259,0.343
260,0.345
1831,0.182
116,0.169
7,0.36
160,0.37
279,0.347
5185,0.348
109,0.175
111,0.175
281,0.168
1789,0.168
1863,0.176
1868,0.17
1869,0.161
1870,0.174
1871,0.171
2882,0.175
2885,0.168
2158,0.292
2635,0.337
2481,0.334
2003,0.3
5203,0.175
5204,0.171
2889,0.117
2900,0.117
2901,0.117
1478,0.407
142,0.175
5177,0.339
961,0.179
4147,0.343
958,0.172
149,0.358
256,0.36
5175,0.324
911,0.326
1458,0.174
1459,0.172
2044,0.392
1419,0.266
4284,0.175
4285,0.177
4286,0.171
4287,0.176
4288,0.179
2547,0.262
2634,0.262
2500,0.165
2501,0.171
2549,0.284
2557,0.173
2542,0.272
2541,0.266
2555,0.267
2548,0.264
2556,0.267
2560,0.26
2550,0.287
2551,0.285
2552,0.269
4,0.284
3217,0.17
4197,0.171
4847,0.167
1740,0.058
956,0.167
954,0.36
4137,0.164
5191,0.145
2758,0.18
5198,0.167
5114,0.176
4193,0.209
4241,0.27
5037,0.167
51,0.346
52,0.333
3138,0.27
3139,0.277
164,0.18
165,0.182
166,0.178
177,0.168
167,0.259
3042,0.118
355,0.367
3097,0.237
3074,0.179
3100,0.182
1552,0.175
3073,0.186
1517,0.323
2771,0.192
131,0.33
2218,0.17
262,0.174
2265,0.257
1432,0.26
3079,0.256
2196,0.28
3070,0.159
3071,0.157
3076,0.159
2109,0.293
5189,0.347
1733,0.346
1736,0.17
1385,0.342
4166,0.349
5200,0.319
5195,0.17
1813,0.285
2607,0.281
2606,0.281
4245,0.3
4904,0.402
4899,0.29
1829,0.269
2216,0.344
2952,0.339
2951,0.3215
2949,0.3095
2948,0.358
2215,0.168
2911,0.359
4157,0.17
4307,0.161
1738,0.278
4240,0.283
2205,0.16
5028,0.175
225,0.204
5196,0.337
1386,0.154
282,0.168
2950,0.164
2906,0.171
4868,0.289
1431,0.272
1542,0.126
906,0.168
1445,0.158
2908,0.169
2516,0.358
2623,0.168
987,0.167
5199,0.169
4993,0.228
4132,0.17
4128,0.171
4129,0.17
4130,0.168
4131,0.173
4962,0.17
4963,0.163
4971,0.3
4977,0.28
4978,0.166
5146,0.175
4203,0.179
3179,0.176
3178,0.276
4126,0.292
89,0.18
341,0.172
1675,0.175
1961,0.168
87,0.28
397,0.283
276,0.253
277,0.175
1958,0.293
2018,0.278
245,0.179
4141,0.295
4142,0.175
5126,0.229
4209,0.18
4149,0.173
4150,0.162
4817,0.158
4819,0.171
4818,0.241
180,0.169
4898,0.261
4893,0.29
4894,0.304
4890,0.283
4891,0.292
4892,0.289
4897,0.292
2172,0.161
2252,0.192
4191,0.309
2322,0.176
3140,0.267
4845,0.12
3111,0.17
18,0.164
4814,0.175
4815,0.168
934,0.173
2907,0.259
4813,0.269
2903,0.264
3058,0.274
3057,0.272
41,0.279
42,0.267
4863,0.263
2195,0.17
4980,0.229
4981,0.232
4982,0.229
4983,0.231
1539,0.161
1557,0.182
4816,0.161
2490,0.175
356,0.173
1510,0.182
1511,0.344
1513,0.345
2328,0.169
5176,0.162
5188,0.167
1514,0.183
5173,0.356
5181,0.342
2377,0.171
2376,0.173
2209,0.174
2207,0.161
2266,0.289
1548,0.164
2157,0.306
2240,0.293
2536,0.171
2493,0.293
947,0.189
1516,0.356
1520,0.362
1515,0.342
1519,0.339
188,0.159
5187,0.17
2909,0.165
2910,0.162
2187,0.34
3056,0.155
2995,0.175
123,0.257
2200,0.303
2201,0.288
2238,0.333
2239,0.294
2241,0.289
2627,0.29
2491,0.292
2535,0.277
2492,0.289
3155,0.244
144,0.257
4140,0.169
895,0.343
1387,0.17
1512,0.34
1518,0.169
2368,0.173
1480,0.336
2041,0.172
4901a,0.303
4901b,0.306
4901c,0.297
2234,0.179
4151,0.175
2439,0.271
172,0.171
175,0.171
398,0.175
1541,0.164
1671,0.177
1672,0.17
1673,0.179
1674,0.165
1960,0.176
1970,0.164
2237,0.173
2913,0.178
991,0.278
2438,0.267
5027,0.276
2554,0.277
1739,0.274
5080,0.279
2204,0.292
2495,0.166
2423,0.281
2494,0.292
2489,0.284
280,0.258
125,0.177
120,0.233
121,0.239
2091,0.243
2202,0.189
3164,0.174
4900,0.172
886,0.175
887,0.167
5183,0.332
1731,0.187
361,0.169
2369,0.161
2420,0.165
2436,0.346
2437,0.352
3165,0.335
360,0.174
5179,0.167
2203,0.243
2212a,0.252
2212b,0.253
2212c,0.185
2212d,0.292
2212e,0.285
2212f,0.253
2212g,0.255
5000a,0.252
5000b,0.25
5000c,0.248
5000d,0.245
5000e,0.245
5000f,0.243
5000g,0.245
5000h,0.296
5000i,0.297
5000j,0.238
5000k,0.246
5000l,0.249
5000m,0.254
5000n,0.298
5000o,0.298
5000p,0.3
5000q,0.3
5000r,0.31
5000s,0.307
5201a,0.244
5201b,0.246
5201c,0.248
5529a,0.245
5529b,0.247
5529c,0.244
5529d,0.244
5529e,0.248
5529f,0.327
5529g,0.331
5529h,0.246
5529i,0.246
5529j,0.243
5529k,0.244
5529l,0.317
5529m,0.312
5529n,0.313
5529o,0.314
5529p,0.313
5529r,0.471
2647a,0.283
2647b,0.278
2647c,0.293
2647d,0.292
2647e,0.279
2647f,0.285
2647g,0.287
2647h,0.282
2647i,0.288
2647j,0.242
2647k,0.263
2647l,0.25
2647m,0.25
2647n,0.253
2647o,0.242
2546a,0.283
2546b,0.346
2546c,0.279
2546d,0.285
2546e,0.286
2546f,0.221
2546g,0.221
2546h,0.223
2546i,0.232
