catalog,g60
1844,31.35339
1845,64.22955
1846,65.46887
1847,29.45356
1848,69.564
1849,95.90496
185,37.96004
1850,44.88769
1851,9.329598
1852,9.401214
1853,46.22551
1854,49.57951
1855,37.61074
1856,32.045325
1857,49.12181
1858,40.14983
1859,6.130733
186,56.62791
1860a,7.425429
1860b,23.47063
1860c,97.28526
1860d,4.517986
1860e,29.25732
1860f,7.025759
1860g,12.35495
1861,7.13126
1862,63.66716
1863,56.55358
1864,43.51791
1865,52.0285
1866,49.24048
1867,45.94899
1868,52.37109
1869,56.73385
187,7.338163
1870,60.82877
1871,60.4544
1872,8.982765
1873,6.915525
1874,6.749422
1875,28.81886
1876,96.1254
1877,15.52308
1878,19.95741
1879a,92.72072
1879b,91.9492
1879c,11.06779
1879d,11.23938
1879e,9.831049
1879f,13.37912
1879g,91.25573
1879h,92.50116
1879i,10.72113
1879j,94.52661
1879k,10.49908
1879l,14.91958
1879m,5.63259
1879n,17.69372
1879o,10.54781
1879p,7.25567
1879q,2.756817
1879r,6.809779
1879s,9.112319
1879t,5.313546
1879u,6.923069
188,56.3823
1880a,7.577053
1880b,12.95364
1880c,3.638259
1880d,197.9906
1880e,16.47657
1880f,2.78205
1880g,2.156435
1880h,10.90079
1880i,11.01288
1880j,8.845253
1880k,10.81101
1880l,10.06417
1880m,11.29761
1880n,7.118436
1880o,8.207575
1880p,10.02998
1880q,87.20573
1880r,3.110807
