cat,mloc,LAB_L,LAB_A,LAB_B,hue,saturation,lightness
292i,dmax,14.01,1.58,-4.01,240.18965108152167,0.0791930209639626,0.1496399939908171
292i,dmin,86.17,1.83,-0.72,323.9480004882571,0.0530347364161382,0.8490601494041234
292j,dmax,17.33,0.4,4.56,37.19461720809522,0.1189723971737398,0.160706436791604
292j,dmin,87.84,-0.51,9.05,42.63888785697441,0.2941457910419706,0.8428467233651494
5021a,dmax,40.78,0.02,0.74,38.19545243435243,0.0093975636620342,0.3757496906595893
5021a,dmin,90.98,-0.19,13.74,41.21170456762559,0.5476841763104846,0.8682113225791211
5021b,dmax,15.05,0.57,3.5,34.24834062912157,0.1054303633304923,0.1442535099168532
5021b,dmin,91.94,0.62,5.66,35.49689694425081,0.3303156317046887,0.9000263484000497
5021c,dmax,26.25,0.07,4.91,39.88529077441024,0.0888087336600589,0.2354235254006454
5021c,dmin,91.55,-0.48,14.32,42.12947819835699,0.5801255298164205,0.8720778793718728
5021d,dmax,38.65,0.15,7.85,39.98219967139636,0.1036492655104948,0.3428624774620651
5021d,dmin,90.37,0.5,18.79,40.0251519556337,0.6773907060787611,0.8520168430048779
5021e,dmax,25.62,0.28,4.68,38.00866005784911,0.0887272169762084,0.2309428984174023
5021e,dmin,92.03,0.72,6.56,35.57789411573941,0.3800028529038724,0.8994916450412789
5021f,dmax,16.39,0.32,0.43,19.0177004206339,0.016728788545924,0.1594527647679043
5021f,dmin,93.66,0.73,1.73,25.800608472595627,0.1715804736149874,0.9278895280132742
5021g,dmax,26.36,0.38,0.4,15.6641749408235,0.0118943350728232,0.2450630268339481
5021g,dmin,92.32,0.81,3.13,30.347015505119717,0.2254592711917918,0.9103386116117844
5021h,dmax,25.07,0.35,1.71,32.14657690366505,0.0360672416714434,0.2314851692414699
5021h,dmin,92.2,1.11,4.41,30.675532138341797,0.3052243020494876,0.9075117761605472
5021i,dmax,18.11,0.7,-1.34,251.02125933294576,0.0240617598835228,0.1767364059497543
5021i,dmin,93.91,1.16,1.65,19.77315259410597,0.2019090189046207,0.9325839915045602
5495a,dmax,23.95,0.26,9.47,40.62384991680642,0.1887021729145047,0.2071185905787566
5495a,dmin,74.05,-1.0,14.34,44.08335147047762,0.2152558905247717,0.680028087206112
5495b,dmax,21.4,0.34,5.17,38.05104784655447,0.1135080006751413,0.1937068202574456
5495b,dmin,90.41,-1.39,16.82,44.68462112624849,0.5567366321694104,0.8500873809939333
5495c,dmax,27.27,0.79,8.87,37.84137188590091,0.1637013981578868,0.2389579523599014
5495c,dmin,91.38,-1.27,14.17,44.72290677353004,0.5321032189164171,0.8675074632547672
5495d,dmax,12.57,0.99,2.54,27.240196297834583,0.0976701035052999,0.1269546939802779
5495d,dmin,90.49,-0.71,6.67,44.72819523068125,0.2690723628602479,0.8765060907234978
5495e,dmax,17.11,0.36,4.8,37.7644261486854,0.1256056643406887,0.1583452722976875
5495e,dmin,90.5,-1.0,8.01,45.7996727176137,0.3078906387453473,0.8725988178954276
5495f,dmax,13.99,0.98,3.3,29.990178702332518,0.1122826269700277,0.1371058181279861
5495f,dmin,89.12,-0.5,9.13,42.5627183736928,0.3271407235362221,0.8568347773194749
5495g,dmax,17.81,0.52,3.99,35.43741450027716,0.1043887835296158,0.1660363851602758
5495g,dmin,91.23,-1.66,16.2,45.5720181832038,0.5661171131149091,0.8596012551791103
5495h,dmax,28.22,0.17,5.28,39.18327587207443,0.0911031161997207,0.2524851118748286
5495h,dmin,93.76,-1.26,12.21,45.14515195812714,0.598555360789032,0.8985188067471215
5495i,dmax,15.26,0.77,3.66,32.712578449001626,0.1119701752233836,0.1462533990405169
5495i,dmin,91.0,-1.1,14.61,44.08849521029833,0.534911214949222,0.8629260536149712
5495j,dmax,22.28,0.28,7.61,39.84054609668459,0.1603676102329391,0.1964782264180527
5495j,dmin,90.5,-1.7,17.43,45.47287978040959,0.5639271277921539,0.8484495772481835
5495k,dmax,18.04,0.27,1.23,31.62098266714736,0.0337218808837414,0.1717951197948161
5495k,dmin,92.83,-1.21,12.19,44.96081180742914,0.5437202766172632,0.8883940585222252
5495l,dmax,21.46,0.41,5.72,37.97311543617246,0.1258794976072291,0.1934152092877863
5495l,dmin,93.16,-0.91,12.74,43.67901505285317,0.5991774266114809,0.891980347343454
5495m,dmax,25.43,0.16,4.82,39.109635059271966,0.0904745811704938,0.2286615137425754
5495m,dmin,89.34,-1.28,9.23,46.659907717955264,0.3088200492683033,0.8560114440123239
5495n,dmax,12.04,0.3,3.95,37.68511632875948,0.1327021991131051,0.1185054193238997
5495n,dmin,92.53,-1.15,12.17,44.729471333697234,0.5298492172763404,0.8853338482673168
5495o,dmax,12.9,1.12,3.19,28.462262431369822,0.1178749746160114,0.1288779034570939
5495o,dmin,89.8,0.41,2.02,31.97411696130081,0.107579612091835,0.882952027342881
5495p,dmax,27.15,-0.06,3.64,40.83313958447985,0.0626791784897694,0.2452357849084164
5495p,dmin,92.55,-0.32,9.39,41.62766653617456,0.4695645638165586,0.8950276028366868
5495q,dmax,29.93,-0.12,1.53,43.023448926730055,0.023258026508874,0.2734732772568464
5495q,dmin,88.91,-0.55,8.74,42.89691627368143,0.3078467825265895,0.8551740664311449
5495r,dmax,21.6,-0.09,8.6,42.15351953376785,0.1819044167040568,0.1876638902441544
5495r,dmin,89.94,-0.75,10.83,43.41013873226058,0.3952788217054258,0.8611667356870818
5495s,dmax,30.46,-0.62,5.13,46.01823188855758,0.0751423295800368,0.2703514411431451
5495s,dmin,93.46,-1.0,10.32,44.63748113607187,0.5197866125498667,0.9004453993732188
5495t,dmax,23.62,-0.76,7.64,45.90108106261977,0.1417369375250911,0.2049231405483657
5495t,dmin,92.39,-1.23,10.43,45.70201692533243,0.455708840891758,0.887377750301001
5495u,dmax,29.75,0.15,2.69,37.58433895331865,0.0450534580676673,0.2707468503506917
5495u,dmin,91.17,-1.15,13.95,44.35606091418515,0.5212391955034434,0.8661497584762696
5495v,dmax,26.99,8.3,8.8,16.341124272953664,0.2279361616680073,0.257710523196921
5495v,dmin,91.72,-0.22,11.72,41.20763118692668,0.5186279227309796,0.8809510930903732
5495w,dmax,55.61,3.99,13.86,31.002644884292863,0.1587336657443789,0.5075250632063706
5495w,dmin,92.58,-0.88,12.36,43.63509173367282,0.5529825144822991,0.8865059014224936
2080a,dmax,26.72,-0.01,4.09,40.36012306010434,0.0720520862535833,0.2407948699466943
2080a,dmin,92.24,-0.4,9.0,42.052100809481885,0.4347412389945021,0.8921230693576605
2080b,dmax,29.03,0.1,0.78,34.454527491151225,0.0140249190456472,0.2673314643848403
2080b,dmin,93.09,-0.96,7.11,46.19786209637658,0.3610200542833285,0.903503581797226
2080c,dmax,20.64,0.32,4.08,37.27981869732213,0.0926473921340202,0.1891203190679895
2080c,dmin,88.8,0.94,18.83,39.11034354540772,0.62010648280785,0.8362005299929531
2080d,dmax,33.45,0.38,-0.69,253.4164332238492,0.0077905484174037,0.3102369406267717
2080d,dmin,91.7,0.53,15.54,39.37368514499906,0.6720054500899176,0.8747222306021156
2080e,dmax,16.36,0.44,2.55,33.57744683297926,0.0727762821554602,0.1562200073289079
2080e,dmin,90.72,0.22,12.68,39.78542577882996,0.521757710067802,0.8693445011079619
2080f,dmax,17.63,1.33,3.12,26.335016078194315,0.0959647524287211,0.1683367669284404
2080f,dmin,89.7,0.79,1.8,25.39492828981406,0.1106986530715829,0.8838004749249224
2080g,dmax,25.15,0.47,6.3,37.8643763478853,0.1225621062646171,0.2243974203965683
2080g,dmin,90.67,0.68,20.25,39.877986382959534,0.733806755052776,0.8524097582926686
2080h,dmax,16.6,0.39,1.25,28.89388974887237,0.0383788651266763,0.1601397830926103
2080h,dmin,89.39,1.16,1.92,21.717629353481183,0.1259665286784693,0.8815841648894609
2080i,dmax,20.52,-0.21,4.89,42.561012914572416,0.1037831939037677,0.1851208007596429
2080i,dmin,93.35,-1.32,8.45,47.45695002799141,0.414889105019973,0.9020798719579745
2080j,dmax,23.76,0.36,1.08,28.198825237933026,0.0256600179094166,0.2211100509536441
2080j,dmin,90.31,0.84,21.2,39.73173499164608,0.7401759693631614,0.8466438179921107
2080k,dmax,12.45,0.83,3.22,31.188346394226585,0.1163961286357206,0.1244357602486011
2080k,dmin,93.75,-0.73,5.1,46.38598859042583,0.2976909850429869,0.916064468965272
2080l,dmax,18.39,0.52,1.52,28.114626002262582,0.0439299145490082,0.1750069680540078
2080l,dmin,90.55,0.3,5.02,37.29983954343112,0.2452805732541817,0.8846506247398198
2080m,dmax,17.14,0.17,5.65,39.81675273101217,0.1443920714417216,0.1565332633071189
