catalog,g60
2495,56.25462
2495,58.01278
2423,13.79021
2423,14.41515
2423,14.28208
2404,21.66014
2404,21.49282
2404,21.94497
2494,7.233856
2494,6.389988
2494,7.326343
280,97.39343
280,97.8329
280,83.65852
125,9.44616
125,9.264469
125,9.365667
120,94.94874
120,94.68138
120,96.36267
121,33.04357
121,33.47453
121,33.98255
2091,20.18503
2091,20.33182
2091,20.8223
2202,13.37614
2202,12.65724
2202,12.86493
3164,53.96046
3164,55.64238
3164,50.62896
4900,51.46006
4900,55.11552
4900,55.80628
886,61.46581
886,63.21523
886,62.60952
887,60.97643
887,59.55093
887,57.82042
5183,58.34368
5183,55.21209
5183,54.00148
1731,13.06891
1731,13.49828
1731,13.383
361,62.45665
361,62.95433
361,62.14528
2369,60.15905
2369,63.57539
2369,65.57
2420,62.17282
2420,56.55591
2420,60.2202
2436,9.218187
2436,9.498179
2436,10.02683
2437,9.560846
2437,9.612411
2437,9.631455
3165,8.661723
3165,8.904843
3165,8.762911
360,57.11087
360,60.16498
360,57.64202
5179,52.81654
5179,55.47626
5179,53.86816
2203,92.342
2203,92.13705
2203,92.36569
2774,3.673014
2774,3.689418
2774,3.186223
2775,3.063908
2775,3.741864
2775,3.651901
3188,3.009595
3188,2.91631
3188,2.910521
4280,58.86381
4280,59.15384
4280,62.40507
4281,51.49277
4281,55.297
4281,52.69904
1453,8.561195
1453,8.566293
1453,8.810749
2598,12.51256
2598,12.26222
2598,13.3612
128,6.114184
128,6.159696
128,5.947267
1450,14.45488
1450,15.56827
1450,14.98033
1451,27.85241
1451,27.96719
1451,26.08725
55,6.824718
55,6.290022
55,6.791063
2116,15.66572
2116,17.64352
2116,29.3714
996,47.05856
996,44.6106
996,46.31503
321,6.449632
321,6.864316
321,6.608705
1446,7.871161
1446,7.710085
1446,7.413846
1839,18.309
1839,17.59614
1839,18.55058
2597,11.99076
2597,12.10925
2597,11.34355
70,12.93973
70,12.24544
70,11.8249
71,10.76587
71,10.49827
71,12.27794
75,59.79718
75,60.46279
75,58.66324
28,10.9168
28,11.68805
28,10.69246
24,3.115786
24,3.147858
24,3.111281
2763,60.87115
2763,46.00232
2763,60.3221
2772,3.406851
2772,3.344887
2772,3.386234
72,15.19794
72,18.62461
72,16.27972
1444,57.4672
1444,58.17249
1444,59.26399
235,11.75191
235,12.32537
235,13.01094
132,60.40777
132,52.81656
132,57.64864
26,9.326822
26,8.936007
26,9.498208
74,11.47769
74,10.32753
74,10.45376
274,12.6865
274,14.10239
274,13.38168
1550,10.59289
1550,11.07049
1550,9.631845
2450,6.001454
2450,5.21435
2450,5.697239
3169,11.25842
3169,11.54362
3169,12.84744
5111,10.79387
5111,10.71315
5111,11.69476
4937,11.83964
4937,13.39349
4937,14.14399
2448,2.220044
2448,2.19687
2448,2.416438
2449,7.203238
2449,6.916287
2449,6.496007
2006,3.128208
2006,2.849163
2006,3.148921
2012,3.193232
2012,3.069473
2012,3.168369
5168,8.007876
5168,8.668728
5168,8.065178
2007,7.35821
2007,7.057568
2007,7.072244
2009,8.133589
2009,7.99357
2009,7.898005
971,13.75114
971,13.5132
971,14.35653
997,35.73009
997,34.6342
997,37.11436
2583,40.52211
2583,42.12283
2583,39.46875
359,44.94127
359,49.82369
359,49.67925
1000,19.83469
1000,20.6519
1000,17.87859
2451,6.353918
2451,6.26101
2451,6.208509
5032,10.31394
5032,8.742975
5032,10.32671
2167,10.84935
2167,11.14434
2167,10.31958
4794,10.07388
4794,10.42728
4794,10.50926
2008,5.299803
2008,7.784577
2008,5.687377
2173,43.35873
2173,44.20387
2173,40.29251
2010,12.48819
2010,10.29978
2010,11.69214
5166,2.588392
5166,2.521419
5166,2.471992
2614,47.75133
2614,47.04107
2614,47.49671
2615,57.35285
2615,47.59136
2615,56.28358
2616,55.02009
2616,54.80096
2616,50.6202
2617,57.32767
2617,57.39975
2617,55.85535
2619,50.09985
2619,50.07497
2619,48.48907
1872,8.982765
1872,8.896431
1872,9.030991
2098,9.530393
2098,9.088798
2098,9.405972
2317,10.12595
2317,10.14335
2317,10.00563
1828,11.53986
1828,11.53781
1828,11.85028
2085a,92.28791
2085a,90.08025
2085a,92.28839
2085b,95.22831
2085b,95.83161
2085b,93.27781
2085c,22.31385
2085c,19.36325
2085c,18.85539
2085d,8.838748
2085d,8.920199
2085d,8.406992
2085e,61.818
2085e,62.73203
2085e,62.55545
2085f,4.731061
2085f,4.86928
2085f,4.733464
2085g,26.48234
2085g,26.91053
2085g,32.51485
2085h,17.82845
2085h,17.33688
2085h,17.37634
2085i,1.566714
2085i,1.279791
2085i,1.747323
2085j,2.145365
2085j,2.602691
2085j,2.004223
2085k,3.113592
2085k,2.287683
2085k,2.215425
2085l,8.476565
2085l,8.223111
2085l,8.999187
5408a,96.07471
5408a,97.9342
5408a,96.10937
5408b,90.97229
5408b,89.94985
5408b,92.06606
5408c,13.40085
5408c,13.70779
5408c,13.51121
5408d,11.98363
5408d,12.04986
5408d,12.34099
5408e,10.77228
5408e,10.29749
5408e,10.51657
5408f,2.306636
5408f,2.167104
5408f,1.373314
5408g,95.81029
5408g,95.72114
5408g,93.79837
5408h,90.00114
5408h,90.56524
5408h,93.53978
5408i,7.475484
5408i,6.371346
5408i,6.684464
5408j,14.50714
5408j,14.26641
5408j,13.87304
5408k,2.475229
5408k,2.711287
5408k,2.708137
5408l,2.921075
5408l,3.093174
5408l,3.081199
4954a,4.820675
4954a,3.851534
4954a,3.923318
4954b,22.65921
4954b,18.29225
4954b,16.9756
4954c,29.56434
4954c,33.63444
4954c,37.71436
4954d,5.112724
4954d,3.532602
4954d,4.060174
4954e,7.212084
4954e,7.383253
4954e,7.235906
4954f,12.00906
4954f,11.986
4954f,11.81804
4954g,53.49469
4954g,27.717
4954g,40.11686
4954h,31.99479
4954h,41.02557
4954h,62.68144
4954i,37.26783
4954i,45.26649
4954i,40.11822
4954j,56.26408
4954j,52.273
4954j,55.15952
4954k,2.755852
4954k,2.279115
4954k,1.948367
4954l,9.719986
4954l,10.09279
4954l,11.68717
4954m,9.882011
4954m,10.60875
4954m,10.66504
4954n,7.599475
4954n,7.842582
4954n,7.511844
4954o,11.29535
4954o,10.81236
4954o,9.60444
4954p,12.80414
4954p,12.37598
4954p,12.8815
5021a,3.432022
5021a,3.687688
5021a,3.390708
5021b,20.60542
5021b,21.04176
5021b,21.05701
5021c,16.76934
5021c,15.5967
5021c,15.2846
5021d,12.46739
5021d,12.00656
5021d,12.16572
5021e,13.10171
5021e,12.81183
5021e,12.85069
5021f,93.91302
5021f,93.93185
5021f,95.06522
5021g,5.442994
5021g,6.145032
5021g,7.444084
5021h,12.48376
5021h,11.86075
5021h,12.63189
5021i,78.89964
5021i,84.58373
5021i,91.92391
2080a,11.91338
2080a,11.62043
2080a,12.7797
2080b,4.41638
2080b,4.610156
2080b,4.331006
2080c,14.92521
2080c,15.4271
2080c,15.6109
2080d,1.915621
2080d,1.783803
2080d,1.713957
2080e,13.86987
2080e,15.00605
2080e,14.24768
2080f,89.61035
2080f,93.69016
2080f,92.91085
2080g,10.07074
2080g,9.671713
2080g,8.929221
2080h,90.53181
2080h,91.44844
2080h,93.92782
2080i,11.32131
2080i,10.8657
2080i,10.70687
2080j,3.823243
2080j,3.931539
2080j,3.786806
2080k,94.62363
2080k,94.23746
2080k,94.28133
2080l,10.66359
2080l,11.35364
2080l,11.87775
2080m,13.5815
2080m,13.86535
2080m,13.60969
2080n,8.64644
2080n,8.984286
2080n,8.387373
5495a,6.586645
